taxon,prev,det_case,det_ctrl,det_OR,haldane,amp_ratio,n_det_case,n_det_ctrl,channel,p_comb,survives_rich
1-68,0.207,0.149,0.266,0.482,False,0.978,52,93,det,0.0004,False
Akkermansia,0.614,0.506,0.723,0.392,False,0.592,177,253,det,0.0001,True
Butyricimonas,0.464,0.397,0.531,0.581,False,1.079,139,186,det,0.0015,False
Campylobacter,0.126,0.074,0.177,0.373,False,1.125,26,62,det,0.0002,True
Lachnobacterium,0.27,0.211,0.329,0.548,False,1.339,74,115,det,0.001,False
Prevotella,0.699,0.646,0.751,0.603,False,0.563,226,263,det,0.0055,False
Streptococcus,0.809,0.8,0.817,0.895,False,8.048,280,286,int,0.0041,False
WAL_1855D,0.331,0.269,0.394,0.564,False,1.031,94,138,det,0.0014,False
rc4-4,0.23,0.177,0.283,0.546,False,1.256,62,99,det,0.002,False
unclassified_Oxalobacteraceae,0.31,0.257,0.363,0.608,False,1.065,90,127,det,0.0039,False
unclassified_Victivallaceae,0.179,0.137,0.22,0.564,False,0.756,48,77,det,0.0055,False
unclassified_[Cerasicoccaceae],0.061,0.034,0.089,0.365,False,0.36,12,31,det,0.0042,False
unclassified_[Mogibacteriaceae],0.744,0.683,0.806,0.519,False,1.054,239,282,det,0.0005,False
unclassified_unknown,0.98,0.971,0.989,0.393,False,0.736,340,346,int,0.0021,False
