cohort,arm,taxon,tier,injected,recovered,attributed,p_comb,p_det,p_int,prev
ibdmdb,intensity,EscherichiaShigella,0,int,False,det,0.3695,0.2553,0.6035,0.972
ibdmdb,intensity,Fusobacterium,0,int,False,int,0.3211,0.693,0.15,0.657
ibdmdb,intensity,Veillonella,0,int,False,det,0.1006,0.0853,0.1142,0.854
ibdmdb,intensity,LachnospiraceaeNK4A136group,0,int,False,int,0.1483,0.4663,0.0798,0.685
ibdmdb,intensity,Bilophila,0,int,False,int,0.0339,0.1984,0.0184,0.624
ibdmdb,intensity,Clostridiumsensustricto1,1,int,False,det,0.3281,0.2512,0.4478,0.404
ibdmdb,intensity,Akkermansia,1,int,False,det,0.0379,0.0185,0.6655,0.438
ibdmdb,intensity,Collinsella,1,int,False,int,0.0097,0.5176,0.005,0.562
ibdmdb,intensity,RuminococcaceaeUCG004,1,int,False,int,0.0087,0.0758,0.0045,0.393
ibdmdb,intensity,Eubacteriumventriosumgroup,1,int,False,det,0.021,0.0178,0.028,0.376
ibdmdb,intensity,Peptostreptococcus,2,int,False,det,0.382,0.346,0.5732,0.208
ibdmdb,intensity,Parvimonas,2,int,False,int,0.9385,0.9685,0.3642,0.23
ibdmdb,intensity,Ruminococcus2,2,int,False,det,0.0623,0.045,0.118,0.348
ibdmdb,intensity,Prevotella9,2,int,False,int,0.5764,0.7373,0.3551,0.225
ibdmdb,intensity,Barnesiella,2,int,False,det,0.9716,0.944,0.981,0.247
ibdmdb,presence,EscherichiaShigella,0,det,True,det,0.0002,0.0001,0.2628,0.972
ibdmdb,presence,Fusobacterium,0,det,True,det,0.0001,0.0001,0.2502,0.657
ibdmdb,presence,Veillonella,0,det,True,det,0.0001,0.0001,0.1318,0.854
ibdmdb,presence,LachnospiraceaeNK4A136group,0,det,True,det,0.0002,0.0001,0.1725,0.685
ibdmdb,presence,Bilophila,0,det,True,det,0.0001,0.0001,0.1463,0.624
ibdmdb,presence,Clostridiumsensustricto1,1,det,True,det,0.0043,0.0022,0.4779,0.404
ibdmdb,presence,Akkermansia,1,det,True,det,0.0003,0.0002,0.3326,0.438
ibdmdb,presence,Collinsella,1,det,True,det,0.0001,0.0001,0.4185,0.562
ibdmdb,presence,RuminococcaceaeUCG004,1,det,True,det,0.0001,0.0001,0.048,0.393
ibdmdb,presence,Eubacteriumventriosumgroup,1,det,True,det,0.0001,0.0001,0.3924,0.376
ibdmdb,presence,Peptostreptococcus,2,det,False,int,0.3141,0.3637,0.3109,0.208
ibdmdb,presence,Parvimonas,2,det,False,det,0.0506,0.0289,0.242,0.23
ibdmdb,presence,Ruminococcus2,2,det,True,det,0.0001,0.0001,0.3879,0.348
ibdmdb,presence,Prevotella9,2,det,False,det,0.1155,0.0629,0.4336,0.225
ibdmdb,presence,Barnesiella,2,det,False,int,0.0173,0.1101,0.0096,0.247
mbqc,intensity,Lactobacillus,0,int,False,det,0.8523,0.0409,0.9731,0.671
mbqc,intensity,unclassified_Rikenellaceae,0,int,True,int,0.0001,0.0001,0.0001,0.897
mbqc,intensity,unclassified_Erysipelotrichaceae,0,int,True,int,0.002,0.5405,0.001,0.919
mbqc,intensity,Faecalibacterium,0,int,True,int,0.0001,0.23,0.0001,0.921
mbqc,intensity,Streptococcus,0,int,False,int,0.0218,0.6622,0.0109,0.876
mbqc,intensity,Desulfovibrio,1,int,True,int,0.0002,0.2529,0.0001,0.321
