cohort,taxon,p_comb,evalue,bh,ebh,channel
mbqc,unclassified_unclassified,0.0007,6.63,True,False,det
mbqc,Bifidobacterium,0.0144,3.96,True,False,det
mbqc,Bacteroides,0.0086,4.01,True,False,det
mbqc,Paraprevotella,0.0007,8.62,True,False,det
mbqc,unclassified_Rikenellaceae,0.0009,8.35,True,False,det
mbqc,Bacillus,0.0065,5.25,True,False,det
mbqc,unclassified_Planococcaceae,0.0002,31.86,True,False,det
mbqc,Enterococcus,0.004,5.79,True,False,det
mbqc,Gemella,0.0002,96.58,True,False,det
mbqc,Pediococcus,0.0001,9.42,True,False,det
mbqc,unclassified_Enterococcaceae,0.0001,95.02,True,False,det
mbqc,unclassified_Gemellaceae,0.0002,111.51,True,False,det
mbqc,Christensenella,0.0002,19.38,True,False,det
mbqc,unclassified_Christensenellaceae,0.0003,6.93,True,False,int
mbqc,SMB53,0.0001,281.98,True,False,det
mbqc,Sarcina,0.0001,100.7,True,False,det
mbqc,unclassified_Lachnospiraceae,0.0036,5.48,True,False,det
mbqc,[Ruminococcus],0.0096,4.19,True,False,int
mbqc,Coprococcus,0.0001,21.19,True,False,det
mbqc,Dorea,0.0003,7.45,True,False,int
mbqc,Epulopiscium,0.0001,123.47,True,False,det
mbqc,Lachnobacterium,0.0002,100.8,True,False,det
mbqc,Roseburia,0.0001,42.36,True,False,int
mbqc,Anaerotruncus,0.0001,69.43,True,False,det
mbqc,unclassified_Peptostreptococcaceae,0.0001,64.26,True,False,det
mbqc,unclassified_Ruminococcaceae,0.0001,15.04,True,False,det
mbqc,Acidaminococcus,0.0002,28.12,True,False,det
mbqc,Coprobacillus,0.0002,14.58,True,False,det
mbqc,Sutterella,0.0112,4.17,True,False,det
mbqc,Erwinia,0.0001,162.95,True,False,det
agp,1-68,0.0004,7.34,True,False,det
agp,Akkermansia,0.0001,17.45,True,False,det
agp,Butyricimonas,0.0015,6.13,True,False,det
agp,Campylobacter,0.0002,8.9,True,False,det
agp,Lachnobacterium,0.001,6.08,True,False,det
agp,Prevotella,0.0055,6.19,True,False,det
agp,Streptococcus,0.0041,1.46,True,False,int
agp,WAL_1855D,0.0014,6.16,True,False,det
agp,rc4-4,0.002,6.74,True,False,det
agp,unclassified_Oxalobacteraceae,0.0039,4.68,True,False,det
agp,unclassified_Victivallaceae,0.0055,4.69,True,False,det
agp,unclassified_[Cerasicoccaceae],0.0042,4.92,True,False,det
agp,unclassified_[Mogibacteriaceae],0.0005,7.05,True,False,det
agp,unclassified_unknown,0.0021,6.31,True,False,int
