cohort,taxon,p_comb,e_identity,e_indicator,bh,ebh_id,ebh_ind
mbqc,unclassified_unclassified,0.0007,6.63,0.0,True,False,False
mbqc,Bifidobacterium,0.0144,3.96,0.0,True,False,False
mbqc,Bacteroides,0.0086,4.01,0.0,True,False,False
mbqc,Paraprevotella,0.0007,8.62,0.0,True,False,False
mbqc,unclassified_Rikenellaceae,0.0009,8.35,0.0,True,False,False
mbqc,Bacillus,0.0065,5.25,0.0,True,False,False
mbqc,unclassified_Planococcaceae,0.0002,31.86,10000.0,True,False,True
mbqc,Enterococcus,0.004,5.79,0.0,True,False,False
mbqc,Gemella,0.0002,96.58,10000.0,True,False,True
mbqc,Granulicatella,0.9999,60.19,5000.0,False,False,True
mbqc,Pediococcus,0.0001,9.42,10000.0,True,False,True
mbqc,unclassified_Enterococcaceae,0.0001,95.02,5000.0,True,False,True
mbqc,unclassified_Gemellaceae,0.0002,111.51,3333.3,True,False,True
mbqc,Christensenella,0.0002,19.38,2500.0,True,False,True
mbqc,unclassified_Christensenellaceae,0.0003,6.93,0.0,True,False,False
mbqc,SMB53,0.0001,281.98,10000.0,True,False,True
mbqc,Sarcina,0.0001,100.7,10000.0,True,False,True
mbqc,unclassified_Lachnospiraceae,0.0036,5.48,0.0,True,False,False
mbqc,[Ruminococcus],0.0096,4.19,0.0,True,False,False
mbqc,Coprococcus,0.0001,21.19,10000.0,True,False,True
mbqc,Dorea,0.0003,7.45,0.0,True,False,False
mbqc,Epulopiscium,0.0001,123.47,10000.0,True,False,True
mbqc,Lachnobacterium,0.0002,100.8,5000.0,True,False,True
mbqc,Roseburia,0.0001,42.36,3333.3,True,False,True
mbqc,Anaerotruncus,0.0001,69.43,10000.0,True,False,True
mbqc,unclassified_Peptostreptococcaceae,0.0001,64.26,10000.0,True,False,True
mbqc,unclassified_Ruminococcaceae,0.0001,15.04,10000.0,True,False,True
mbqc,Acidaminococcus,0.0002,28.12,10000.0,True,False,True
mbqc,Coprobacillus,0.0002,14.58,10000.0,True,False,True
mbqc,Sutterella,0.0112,4.17,0.0,True,False,False
mbqc,Erwinia,0.0001,162.95,10000.0,True,False,True
agp,1-68,0.0004,7.34,0.0,True,False,False
agp,Akkermansia,0.0001,17.45,10000.0,True,False,True
agp,Butyricimonas,0.0015,6.13,0.0,True,False,False
agp,Campylobacter,0.0002,8.9,0.0,True,False,False
agp,Lachnobacterium,0.001,6.08,0.0,True,False,False
agp,Prevotella,0.0055,6.19,0.0,True,False,False
agp,Streptococcus,0.0041,1.46,0.0,True,False,False
agp,WAL_1855D,0.0014,6.16,0.0,True,False,False
agp,rc4-4,0.002,6.74,0.0,True,False,False
agp,unclassified_Oxalobacteraceae,0.0039,4.68,0.0,True,False,False
agp,unclassified_Victivallaceae,0.0055,4.69,0.0,True,False,False
agp,unclassified_[Cerasicoccaceae],0.0042,4.92,0.0,True,False,False
agp,unclassified_[Mogibacteriaceae],0.0005,7.05,0.0,True,False,False
agp,unclassified_unknown,0.0021,6.31,0.0,True,False,False
