cohort,dataset,method,n_rej,overlap_official,jaccard,spike_rec,hits_core,nfail,secs
ibdmdb,native,linda,25,0,0.0,,,0,3.2
ibdmdb,native,zinq,26,0,0.0,,,0,1.8
ibdmdb,native,locom,2,0,0.0,,,6,20.7
ibdmdb,native,ldm,3,0,0.0,,,0,19.7
ibdmdb,native,wilcoxon,3,0,0.0,,,0,0.8
ibdmdb,spike_int,linda,23,0,0.0,2.0,,0,2.7
ibdmdb,spike_int,zinq,31,0,0.0,11.0,,0,1.9
ibdmdb,spike_int,locom,6,0,0.0,3.0,,6,18.5
ibdmdb,spike_int,ldm,8,0,0.0,0.0,,0,18.8
ibdmdb,spike_int,wilcoxon,3,0,0.0,0.0,,0,0.7
ibdmdb,spike_pres,linda,34,0,0.0,11.0,,0,2.6
ibdmdb,spike_pres,zinq,33,0,0.0,13.0,,0,1.7
ibdmdb,spike_pres,locom,1,0,0.0,0.0,,10,19.9
ibdmdb,spike_pres,ldm,10,0,0.0,6.0,,0,13.0
ibdmdb,spike_pres,wilcoxon,20,0,0.0,11.0,,0,0.9
ibdmdb,native,deseq2,45,0,0.0,,,0,164.9
mbqc,native,linda,26,22,0.647,,,0,2.9
mbqc,native,zinq,38,27,0.659,,,0,2.5
mbqc,native,locom,14,12,0.375,,,20,48.6
mbqc,native,ldm,24,19,0.543,,,0,45.6
mbqc,native,wilcoxon,31,25,0.694,,,0,1.9
mbqc,spike_int,linda,31,22,0.564,7.0,,0,2.5
mbqc,spike_int,zinq,45,27,0.562,11.0,,0,1.9
mbqc,spike_int,locom,19,13,0.361,5.0,,20,29.7
mbqc,spike_int,ldm,33,23,0.575,6.0,,0,46.1
mbqc,spike_int,wilcoxon,37,25,0.595,9.0,,0,1.8
mbqc,spike_pres,linda,41,23,0.479,14.0,,0,2.9
mbqc,spike_pres,zinq,48,27,0.529,14.0,,0,2.3
mbqc,spike_pres,locom,19,12,0.324,5.0,,22,35.4
mbqc,spike_pres,ldm,35,21,0.477,10.0,,0,42.1
mbqc,spike_pres,wilcoxon,42,25,0.532,14.0,,0,1.9
mbqc,native,deseq2,85,23,0.25,,,0,1275.6
agp,native,linda,23,13,0.542,,2.0,0,2.5
agp,native,zinq,19,13,0.65,,2.0,0,1.9
agp,native,locom,1,1,0.071,,1.0,33,54.3
agp,native,ldm,2,2,0.143,,1.0,0,360.6
agp,native,wilcoxon,15,12,0.706,,2.0,0,0.7
agp,spike_int,linda,30,11,0.333,4.0,2.0,0,2.7
agp,spike_int,zinq,27,14,0.519,10.0,2.0,0,2.0
agp,spike_int,locom,9,5,0.278,7.0,1.0,33,24.2
agp,spike_int,wilcoxon,17,10,0.476,4.0,2.0,0,0.7
agp,spike_pres,linda,23,11,0.423,8.0,2.0,0,2.6
agp,spike_pres,zinq,30,14,0.467,13.0,2.0,0,2.4
agp,spike_pres,locom,5,3,0.188,4.0,1.0,34,50.9
agp,spike_pres,ldm,13,5,0.227,9.0,1.0,0,83.1
agp,spike_pres,wilcoxon,30,13,0.419,13.0,2.0,0,0.8
agp,native,deseq2,4,3,0.2,,1.0,0,632.8
