method,truth,n_rej_reps,emp_fdr_uncond,emp_fdr_mcse,emp_fdr_cond,tpr,tpr_mcse
ancombc2,A,20.0,0.47603625949214184,0.027079697631030877,0.47603625949214184,0.7900000000000001,0.02539685019840059
ancombc2,B,20.0,0.47603625949214184,0.027079697631030877,0.47603625949214184,0.19750000000000004,0.006349212549600147
deseq2,A,20.0,0.8185081932057738,0.0073751825029691595,0.8185081932057738,0.6249999999999999,0.031523800532296226
deseq2,B,20.0,0.004419191919191919,0.0023545525503751914,0.004419191919191919,0.8512500000000001,0.013401842224112325
linda,A,20.0,0.9395145338837289,0.012222822504932066,0.9395145338837289,0.10000000000000002,0.02
linda,B,20.0,0.06290845764142979,0.014420419011670273,0.06290845764142979,0.36750000000000005,0.013122023472010708
ref_estimated,A,19.0,0.014090909090909093,0.007509635683518445,0.014832535885167466,0.7849999999999999,0.0664360594857943
ref_estimated,B,19.0,0.014090909090909093,0.007509635683518445,0.014832535885167466,0.19624999999999998,0.016609014871448575
ref_oracle,A,20.0,0.03746753246753247,0.016818376120825148,0.03746753246753247,0.9800000000000001,0.008944271909999158
ref_oracle,B,20.0,0.03746753246753247,0.016818376120825148,0.03746753246753247,0.24500000000000002,0.0022360679774997894
ref_placeholder,A,18.0,0.0,0.0,0.0,0.34,0.045497252664309304
ref_placeholder,B,18.0,0.0,0.0,0.0,0.085,0.011374313166077326
tss_wilcoxon,A,20.0,0.9408886784173729,0.007973738711629657,0.9408886784173729,0.20500000000000002,0.03039325583085826
tss_wilcoxon,B,20.0,0.05011793725642246,0.008517228093503372,0.05011793725642246,0.795,0.008767838958375091
