cell,fdp_acat,fdp_mcse,tpr_acat,tpr_mcse,tprA_acat,tprP_acat,fdp_chisq,tpr_chisq,fdp_det,tpr_det,fdp_int,tpr_int,typeI,nrej,n_runs,subset
1000,0.0261,0.0104,0.765,0.0379,0.765,,0.0234,0.725,0.0,0.0,0.0396,0.785,0.0494,7.9,20,all20
1002,0.0307,0.013,0.88,0.02,0.88,,0.0357,0.87,0.0,0.0,0.0305,0.88,0.0467,9.1,20,all20
1004,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.01,0.0517,0.0,20,all20
1005,0.0452,0.0137,0.955,0.0153,0.955,,0.0666,0.98,0.0292,0.08,0.0569,0.92,0.0606,10.05,20,all20
1006,0.025,0.0172,0.06,0.0285,0.06,,0.0792,0.16,0.0375,0.05,0.0,0.075,0.065,0.7,20,all20
1007,0.0,0.0,0.0,0.0,0.0,,0.05,0.015,0.05,0.0,0.0,0.02,0.0594,0.0,20,all20
1008,0.025,0.025,0.005,0.005,0.005,,0.025,0.005,0.025,0.005,0.0,0.02,0.0478,0.1,20,all20
1009,0.0365,0.0081,0.9838,0.0038,0.965,0.99,0.0345,0.985,0.0404,0.99,0.0339,0.97,0.0542,40.9,20,all20
1000,0.0281,0.0125,0.7267,0.0408,0.7267,,0.0245,0.6933,0.0,0.0,0.0367,0.7533,0.0474,7.5333,15,untouched
1002,0.0307,0.013,0.88,0.02,0.88,,0.0357,0.87,0.0,0.0,0.0305,0.88,0.0467,9.1,20,untouched
1004,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.01,0.0517,0.0,20,untouched
1005,0.042,0.0145,0.9533,0.0192,0.9533,,0.0767,0.98,0.0389,0.08,0.0638,0.92,0.0622,10.0,15,untouched
1006,0.025,0.0172,0.06,0.0285,0.06,,0.0792,0.16,0.0375,0.05,0.0,0.075,0.065,0.7,20,untouched
1007,0.0,0.0,0.0,0.0,0.0,,0.05,0.015,0.05,0.0,0.0,0.02,0.0594,0.0,20,untouched
1008,0.0333,0.0333,0.0067,0.0067,0.0067,,0.0,0.0,0.0,0.0,0.0,0.0267,0.0481,0.1333,15,untouched
1009,0.0393,0.0091,0.9833,0.004,0.9733,0.9867,0.0365,0.9817,0.0437,0.9867,0.0452,0.9667,0.0544,41.0,15,untouched
