taxon,p_comb,p_det,p_int,z_det,z_int,channel,rejected
1-68,0.002,0.001,0.983,-3.768024556423593,0.017368938721542857,det,True
Acidaminococcus,0.585,0.531,0.633,0.6232331421605277,-0.4774918962978653,det,False
Acinetobacter,0.247,0.697,0.116,0.3727881709953947,-1.5809693103906342,int,False
Actinomyces,0.949,0.973,0.635,-0.029844917311936888,-0.5291460003899713,int,False
Adlercreutzia,0.167,0.466,0.096,-0.7541309211901848,-1.6626539834480043,int,False
Aggregatibacter,0.521,0.576,0.478,-0.5734029123742335,0.8154996917465015,int,False
Akkermansia,0.001,0.001,0.205,-5.670582870308162,-1.3110882560819197,det,True
Anaerococcus,0.365,0.107,0.854,-1.5748666452646727,-0.648190907369149,det,False
Anaerofilum,0.413,0.248,0.619,-1.1742137944966704,-0.6043987998763074,det,False
Anaerostipes,0.198,0.093,0.672,-1.6769836491043613,0.45430804287905696,det,False
Anaerotruncus,0.201,0.656,0.092,-0.43490194413860866,1.7290466082294444,int,False
Bacillus,0.384,0.137,0.797,1.4818806670397915,-0.28420336859586587,det,False
Bacteroides,0.042,0.17,0.022,-1.3826463150306723,2.344486674891161,int,False
Bifidobacterium,0.465,0.546,0.402,-0.6073802998084168,1.0747592815413975,int,False
Bilophila,0.016,0.252,0.008,-1.1512507306633448,2.4792608588319163,int,False
Blautia,0.172,0.192,0.156,-1.5279997134919918,1.4750055814119394,det,False
Butyricimonas,0.002,0.001,0.514,-3.500310960071161,0.6907879966566078,det,True
Campylobacter,0.002,0.001,0.935,-4.002211607602265,0.08308224788419656,det,True
Catenibacterium,0.158,0.124,0.241,-1.5812658936631374,-1.2415680552606025,det,False
Christensenella,0.132,0.167,0.164,-1.3427370301968395,1.1396610901796704,det,False
Clostridium,0.121,0.087,0.239,-1.687562828984712,1.140332108581846,det,False
Collinsella,0.957,0.35,0.979,-0.9233743898697804,0.02184462477888739,det,False
Comamonas,0.425,0.403,0.446,0.8202643846145173,-0.8802807483286336,int,False
Coprobacillus,0.363,0.364,0.372,0.9185571056580301,0.9304408220720928,int,False
Coprococcus,0.11,0.077,0.185,-1.7817094098151316,-1.3449965478081156,det,False
Corynebacterium,0.561,0.274,0.793,-1.0772514802111117,0.30642651280277494,det,False
Dehalobacterium,0.614,0.168,0.876,-1.4098991356605062,0.13545194202585187,det,False
Desulfovibrio,0.291,0.384,0.23,-0.8326147102989502,1.177146214195779,int,False
Dialister,0.162,0.171,0.144,1.361566862033999,1.4835496325567454,int,False
Dorea,0.427,0.203,0.724,-1.3099462103666408,0.42784995178597607,det,False
Eggerthella,0.368,0.283,0.506,1.077347491423302,-0.6987736223473602,det,False
Enterococcus,0.031,0.016,0.791,2.5115473630167604,-0.26036339851753454,det,False
Faecalibacterium,0.03,0.018,0.078,-2.3608367794046146,1.7712308305069933,det,False
Finegoldia,0.083,0.049,0.32,-1.9464969652708977,-1.11899323825024,det,False
Fusobacterium,0.648,0.667,0.636,0.4500468034610986,-0.582249504023731,int,False
Granulicatella,0.504,0.337,0.656,0.9659005144947308,-0.7202589517653989,det,False
Haemophilus,0.54,0.575,0.515,0.5653203389207695,-0.9596574470761775,int,False
Holdemania,0.014,0.007,0.169,2.7099165082875296,1.370129476528145,det,False
L7A_E11,0.175,0.081,0.657,1.710011890671336,-0.5012762125677415,det,False
Lachnobacterium,0.006,0.003,0.625,-3.413754950455512,0.6119478138074966,det,False
Lachnospira,0.045,0.088,0.031,-1.7449266536679642,2.2799983591761093,int,False
Lactobacillus,0.282,0.483,0.176,-0.6835329738569217,1.5017622493818006,int,False
Lactococcus,0.472,0.328,0.631,-0.9417565142976152,-0.51752206366474,det,False
Megamonas,0.643,0.616,0.69,0.5094666268607221,-0.38792443259726633,det,False
Megasphaera,0.751,0.888,0.312,0.1426618578890641,1.1071162202140254,int,False
Methanobrevibacter,0.261,0.171,0.419,-1.3519328201806073,0.9398458679877754,det,False
Mogibacterium,0.909,0.7,0.949,-0.37051520137073807,0.06517563064964972,det,False
Neisseria,0.653,0.435,0.785,0.807221128282519,-0.8159710487759875,int,False
Odoribacter,0.18,0.117,0.382,-1.5304068118846037,0.9859245295189264,det,False
Oscillospira,0.21,0.208,0.21,-1.2552839072227915,-1.2473155744914965,det,False
Paenibacillus,0.978,0.989,0.485,-0.1269756844832641,0.9751996299876192,int,False
Parabacteroides,0.011,0.006,0.237,-2.7504124280220004,1.2052531600005176,det,False
Paraprevotella,0.093,0.04,0.799,-2.1065830675459454,0.3462721856571513,det,False
Peptococcus,0.092,0.582,0.048,-0.5656134755586588,1.9198312131579967,int,False
Peptoniphilus,0.147,0.068,0.648,-1.8220766662613241,-0.847393142292346,det,False
Peptostreptococcus,0.834,0.895,0.628,-0.13614660527117842,-0.8292508481322806,int,False
Phascolarctobacterium,0.071,0.03,0.822,-2.181607003814444,0.2412033896492165,det,False
Porphyromonas,0.201,0.087,0.69,-1.6687500535048674,0.456415129036687,det,False
Prevotella,0.003,0.002,0.047,-2.9944300460982736,-2.008921582159906,det,True
Pseudomonas,0.297,0.278,0.328,-1.1057605718098384,0.9759045943393502,det,False
Roseburia,0.754,0.173,0.917,-1.3722066757539124,-0.11531591829582193,det,False
Rothia,0.319,0.179,0.657,1.3533140318258472,-0.922796301544372,det,False
Ruminococcus,0.022,0.014,0.094,-2.4345373651619675,-1.6957053800190722,det,False
Slackia,0.184,0.482,0.099,-0.7386782541657436,1.6742641493991521,int,False
Staphylococcus,0.352,0.226,0.522,1.274718255714783,-0.669657484215479,det,False
Stenotrophomonas,0.544,0.454,0.623,0.6448559267689173,0.5419951769719695,det,False
Streptococcus,0.009,0.806,0.005,-0.2644894370449387,1.681855412391985,int,False
Sutterella,0.875,0.132,0.955,-1.53578062260674,-0.06709757583321775,det,False
Turicibacter,0.798,0.861,0.695,0.1719521061628656,0.4308799520753829,int,False
Varibaculum,0.017,0.009,0.747,-2.574210131861705,-0.6470885439318349,det,False
Veillonella,0.22,0.153,0.337,1.4327548027406378,0.9944813610992298,det,False
WAL_1855D,0.996,0.002,0.999,-3.4672483920740054,-0.002991821618909876,det,False
[Eubacterium],0.382,0.461,0.341,0.6955026188863029,1.0356967470284668,int,False
[Prevotella],0.707,0.416,0.836,0.7987659163970893,0.2793220874065227,det,False
[Ruminococcus],0.309,0.37,0.261,-0.9137074077477657,1.1525401197008427,int,False
cc_115,0.318,0.189,0.541,1.3132985593005801,0.8622457175646775,det,False
ph2,0.07,0.034,0.647,-2.0890732322745187,-0.8412080662063028,det,False
rc4-4,0.001,0.001,0.151,-3.373545794675241,1.4609100906332204,det,True
unclassified_Bacillaceae,0.551,0.781,0.239,0.17407627418905836,1.3601551707563462,int,False
unclassified_Christensenellaceae,0.405,0.054,0.939,-1.986213757672669,0.07976683884894081,det,False
unclassified_Clostridiaceae,0.739,0.057,0.957,-1.879566346162735,-0.10557925848098539,det,False
unclassified_Comamonadaceae,0.781,0.222,0.914,1.1705690783860676,0.7980351241557261,det,False
unclassified_Coriobacteriaceae,0.01,0.005,0.41,-2.7646680699252113,-0.820475070359345,det,False
unclassified_Desulfovibrionaceae,0.065,0.055,0.074,-1.9444923334007158,1.7738179429617242,det,False
unclassified_Enterobacteriaceae,0.113,0.226,0.073,-1.2221161246258543,1.7936579253773255,int,False
unclassified_Erysipelotrichaceae,0.464,0.307,0.645,-1.0076867446248525,0.5065594401927401,det,False
unclassified_Gemellaceae,0.658,0.8,0.409,0.25656569078319713,0.933222202279931,int,False
unclassified_Lachnospiraceae,0.805,0.266,0.917,-1.1428564992852466,0.1381428266505285,det,False
unclassified_Oxalobacteraceae,0.002,0.001,0.749,-3.0523818297715497,0.35151939520762143,det,True
unclassified_Peptococcaceae,0.793,0.779,0.802,-0.2634497460462863,0.24225562186444052,det,False
unclassified_Peptostreptococcaceae,0.359,0.275,0.479,-1.1119460781780415,0.7399939142717741,det,False
unclassified_Rikenellaceae,0.015,0.008,0.896,-2.5918526507792032,0.1464516296289097,det,False
unclassified_Ruminococcaceae,0.083,0.061,0.118,-1.7898613925243045,-1.5556985735383078,det,False
unclassified_S24-7,0.14,0.141,0.157,-1.4575607606520493,-1.4258299034705542,det,False
unclassified_Victivallaceae,0.007,0.004,0.36,-2.9177631283870222,-0.9220067258317971,det,False
unclassified_[Barnesiellaceae],0.451,0.199,0.757,-1.2807778641975651,0.2873189342438267,det,False
unclassified_[Cerasicoccaceae],0.004,0.002,0.536,-3.0362904349710362,-0.7532167628059719,det,True
unclassified_[Mogibacteriaceae],0.002,0.001,0.59,-3.7097754054342906,0.5069211316404254,det,True
unclassified_[Paraprevotellaceae],0.329,0.473,0.245,-0.7226389965260117,-1.2286051881493634,int,False
unclassified_unknown,0.001,0.175,0.001,-1.380343697045627,-3.218373872144705,int,True
