taxon,p_comb,p_det,p_int,z_det,z_int,channel,rejected
Acinetobacter,0.267,0.348,0.209,0.9525877295615024,-1.3472286416809167,int,False
Actinomyces,0.52,0.551,0.517,-0.6144136300986975,0.6455506930420974,int,False
Aggregatibacter,0.785,0.332,0.899,0.9674881145413217,0.16023231126858867,det,False
Akkermansia,0.064,0.023,0.921,-2.2853666027962984,-0.14881011440751046,det,False
Alistipes,0.228,0.131,0.453,-1.470482939938762,-0.789456302969883,det,False
Anaerococcus,0.062,0.027,0.84,2.22456261450219,0.20577935151236662,det,False
Anaerostipes,0.489,0.79,0.199,-0.2841073811936165,-1.2748588660673887,int,False
Anaerotruncus,0.943,0.775,0.967,0.27550798115799124,0.0531450244382087,det,False
Atopobium,0.063,0.496,0.032,0.7062340628028903,-2.0949461579400452,int,False
Bacteroides,0.46,0.279,0.679,0.9650854822821493,-0.42246393872584687,det,False
Barnesiella,0.879,0.941,0.364,-0.08345408681238849,-0.9563082686150303,int,False
Bifidobacterium,0.082,0.024,0.941,-2.182537406016651,0.09647959028866804,det,False
Bilophila,0.133,0.176,0.105,-1.3329024371177518,1.55556584020545,int,False
Blautia,0.929,0.96,0.722,-0.05418420191203811,-0.346818445059567,int,False
Butyricicoccus,0.544,0.269,0.781,-1.1060112573698513,0.28726327661984596,det,False
Butyricimonas,0.836,0.671,0.889,-0.41017472523421616,-0.1930144005851048,det,False
Campylobacter,0.922,0.682,0.952,0.37309219983173025,-0.0794951528379974,det,False
CandidatusSoleaferrea,0.493,0.323,0.665,0.9710900953297412,-0.4211548699330246,det,False
ChristensenellaceaeR7group,0.005,0.003,0.703,-2.9724420921630337,-0.42656395237866723,det,False
Citrobacter,0.556,0.65,0.482,0.4581010003285875,0.697963583500159,int,False
Clostridiuminnocuumgroup,0.046,0.027,0.112,2.197068550827714,-1.6010639612482096,det,False
Clostridiumsensustricto1,0.779,0.247,0.902,-1.1697548256934822,0.18885607257720857,det,False
Collinsella,0.397,0.515,0.309,-0.6353744177339605,1.00931721925019,int,False
Coprococcus1,0.126,0.067,0.43,-1.7970895092719648,-0.8681611277305027,det,False
Corynebacterium,0.895,0.65,0.941,0.5072621121216552,-0.12232298301390818,det,False
Desulfovibrio,0.473,0.497,0.415,-0.655674586549309,0.8563507891250313,int,False
Dialister,0.118,0.06,0.422,1.8034463961179257,-0.8118966790080281,det,False
Dielma,0.294,0.305,0.293,1.0493990888651938,1.118379109165381,int,False
Dorea,0.162,0.085,0.432,-1.6940871273702482,0.7533786520079994,det,False
Eggerthella,0.439,0.447,0.387,0.7663746324891532,0.9567246366631532,int,False
Eikenella,0.972,0.987,0.356,-0.022356566101988974,0.964124185822134,int,False
Erysipelatoclostridium,0.932,0.968,0.43,-0.03817707137702589,0.8468265520846192,int,False
ErysipelotrichaceaeUCG003,0.762,0.78,0.741,-0.2839698738404785,-0.3673781311559998,int,False
EscherichiaShigella,0.422,0.247,0.702,-1.3904535528396174,0.6029986724787499,det,False
