taxon,p_comb,p_det,p_int,z_det,z_int,channel,rejected
Actinomyces,0.704,0.382,0.848,0.8646337737332432,0.20003366127397784,det,False
Corynebacterium,0.122,0.206,0.084,1.2579417835067759,1.4603093159820981,int,False
Methanobrevibacter,0.083,0.041,0.633,-2.113538519124534,0.5706772610741432,det,False
unclassified_unclassified,0.001,0.001,0.063,3.4518937644223064,1.3337499380002906,det,True
Adlercreutzia,0.703,0.72,0.666,0.35363635994583265,-0.4909402637989478,int,False
Atopobium,0.257,0.57,0.131,-0.5661446984854489,1.5260453086815964,int,False
Bifidobacterium,0.025,0.013,0.465,2.5672943887357365,0.7870972244438543,det,False
Collinsella,0.49,0.513,0.465,0.6696446586708551,-0.7234159068479392,int,False
Eggerthella,0.332,0.179,0.66,1.337507783603352,-0.4521884485405367,det,False
Rothia,0.784,0.462,0.875,0.7603070703717585,0.1912743374013187,det,False
unclassified_Coriobacteriaceae,0.619,0.557,0.654,-0.5607151840095105,-0.48979853099615606,det,False
Bacteroides,0.013,0.007,0.395,2.6987782167472796,-0.8596350893086546,det,True
Butyricimonas,0.971,0.848,0.984,0.20487915245079777,0.02246617215198544,det,False
Odoribacter,0.778,0.305,0.898,-1.030851827925852,-0.557124583167871,det,False
Paraprevotella,0.001,0.001,0.032,3.4579475565448887,-2.1406940141547723,det,True
unclassified_[Barnesiellaceae],0.806,0.749,0.854,0.31337124450325554,0.2530243381862118,det,False
Parabacteroides,0.163,0.084,0.502,1.6751382809402393,0.7061783542191802,det,False
Prevotella,0.531,0.135,0.881,1.4942113506534196,-0.15129770388391514,det,False
Porphyromonas,0.779,0.393,0.898,0.8315342087027184,0.666623523776583,det,False
unclassified_Rikenellaceae,0.001,0.001,0.06,3.6341750741118104,1.8852584161039525,det,True
unclassified_S24-7,0.53,0.569,0.521,0.5494096195608525,-0.4741051852388381,det,False
Bacillus,0.002,0.001,0.241,3.0367834346723592,1.3076297104113603,det,True
Paenibacillus,0.02,0.01,0.873,2.6034571317317723,-0.1512345463410302,det,False
Staphylococcus,0.812,0.676,0.867,-0.39833690203591965,0.26982401153517066,det,False
unclassified_Planococcaceae,0.001,0.001,0.474,7.666932295450867,0.8377924676846702,det,True
Enterococcus,0.007,0.004,0.113,2.8243650969434673,-1.4806579486019813,det,True
Gemella,0.002,0.001,0.923,-12.71807168940389,0.09416868382196225,det,True
Granulicatella,0.999,0.001,1.0,10.43227009130401,0.3799480384471111,det,False
Lactobacillus,0.081,0.041,0.623,2.0414889107435825,-0.6674512525623761,det,False
Lactococcus,0.361,0.507,0.267,0.693210503771378,-1.193171956721672,int,False
Pediococcus,0.003,0.002,0.023,-3.882285578253809,-2.031467519073573,det,True
Streptococcus,0.628,0.648,0.62,0.43277775295238113,0.5232340172356542,int,False
unclassified_Enterococcaceae,0.001,0.001,0.001,11.779133589704184,-4.285416562270883,det,True
unclassified_Gemellaceae,0.003,0.001,0.998,13.273559601981848,0.04966023442112269,det,True
unclassified_Leuconostocaceae,0.859,0.25,0.93,1.1385313902861893,0.689268891960903,det,False
Turicibacter,0.817,0.594,0.892,-0.5340065211056625,0.3598792145569536,det,False
Anaerococcus,0.172,0.175,0.162,1.3645708923373043,1.406009214641058,int,False
Christensenella,0.002,0.001,0.118,5.769571629964497,1.5995926922364354,det,True
Clostridium,0.094,0.04,0.725,2.0707864820313664,-0.37153288049255145,det,False
Finegoldia,0.467,0.784,0.23,-0.2497554767471465,1.11938468170102,int,False
Parvimonas,0.907,0.928,0.825,0.08561653085971756,0.7297883296311773,int,False
Peptoniphilus,0.459,0.372,0.564,-0.8909696065366334,-0.6075347048386579,det,False
unclassified_Christensenellaceae,0.001,0.255,0.001,1.1769043702831636,-3.449973742037125,int,True
unclassified_Clostridiaceae,0.293,0.36,0.228,0.9309492005745096,1.3507573102089574,int,False
unclassified_[Mogibacteriaceae],0.679,0.816,0.399,0.23562347922728125,-0.8430190903212657,int,False
Anaerofustis,0.37,0.314,0.448,0.9939647415136809,0.8532569507814732,det,False
Dehalobacterium,0.388,0.116,0.848,-1.562657393124306,-0.18704824208189816,det,False
SMB53,0.001,0.001,1.0,14.925815502687895,0.0,det,True
Sarcina,0.001,0.001,1.0,9.669499712801327,0.0,det,True
unclassified_Lachnospiraceae,0.008,0.004,0.298,3.159756331941754,-1.0742715290929965,det,True
Anaerostipes,0.992,0.996,0.45,0.0021873373609292853,0.9258710766549332,int,False
Blautia,0.181,0.155,0.224,1.4179404717534274,-1.228838577017534,det,False
[Ruminococcus],0.011,0.396,0.006,-0.8743219585731121,-2.797087944836469,int,True
Coprococcus,0.001,0.001,0.001,4.800455259412452,4.149780310510646,det,True
Dorea,0.003,0.008,0.002,2.4581518159713114,2.9988435338822907,int,True
Epulopiscium,0.001,0.001,1.0,10.475170809797062,0.0,det,True
Lachnobacterium,0.002,0.001,0.688,13.030439458682762,0.4310252456730145,det,True
Lachnospira,0.471,0.734,0.227,0.3471991513082838,-1.1968865199004943,int,False
Roseburia,0.001,0.001,0.001,5.684608332981773,6.856272428610085,int,True
Ruminococcus,0.108,0.296,0.067,1.0434534564076987,-1.520733044697534,int,False
Anaerotruncus,0.002,0.001,0.37,11.306756231368185,0.9244054964415908,det,True
Faecalibacterium,0.366,0.227,0.571,1.2006738840908011,-0.564574876573838,det,False
Peptococcus,0.556,0.321,0.753,-0.9986617251130174,-0.35730013104297687,det,False
Peptostreptococcus,0.181,0.203,0.159,1.3294060454318706,-1.429310065330276,int,False
rc4-4,0.025,0.578,0.012,0.5675476206740815,2.418533587311288,int,False
unclassified_Peptococcaceae,0.03,0.017,0.431,-2.3567854120672487,-0.803403757499133,det,False
unclassified_Peptostreptococcaceae,0.001,0.001,0.001,-10.457917729993714,-3.052024924043153,det,True
unclassified_Ruminococcaceae,0.001,0.001,0.001,4.532817546641311,3.043269374386449,det,True
Oscillospira,0.997,0.009,0.999,2.5148832065412203,0.004159563839701705,det,False
Acidaminococcus,0.002,0.001,0.967,7.148394906050034,-0.15442250931818302,det,True
Bulleidia,0.662,0.565,0.744,0.5741445448121367,-0.3921592418514394,det,False
Coprobacillus,0.002,0.001,0.585,5.1815932041222865,0.753359768364223,det,True
Dialister,0.816,0.818,0.808,-0.2198222791198156,-0.24661127127860416,int,False
Holdemania,0.682,0.623,0.73,-0.4898322965439056,0.3227062812747892,det,False
Megasphaera,0.408,0.287,0.569,-1.0578827244845064,-0.7877635084327123,det,False
Phascolarctobacterium,0.58,0.834,0.225,0.219046432869693,-1.2099080367204147,int,False
Succiniclasticum,0.255,0.528,0.145,0.6295761852296629,-1.4410992037636068,int,False
Veillonella,0.474,0.471,0.464,0.7099358558791662,0.9232971761135795,int,False
[Eubacterium],0.146,0.091,0.311,-1.708516633172931,-1.0736260999758545,det,False
unclassified_Erysipelotrichaceae,0.974,0.575,0.988,0.5813111323622252,0.013452381134833458,det,False
Fusobacterium,0.035,0.017,0.874,2.57063426595293,0.2025983462241004,det,False
Leptotrichia,0.136,0.021,0.971,2.264143399698388,0.4813523427255522,det,False
Methylobacterium,0.303,0.406,0.231,0.8308268572232611,1.33469372692679,int,False
Sutterella,0.002,0.001,0.973,2.8362468814756414,-0.0347152117197632,det,True
unclassified_Comamonadaceae,0.485,0.511,0.459,0.6319035596521978,-0.8923628560650866,int,False
Bilophila,0.412,0.248,0.62,1.1417745483419164,-0.5544435154574199,det,False
Desulfovibrio,0.33,0.247,0.449,-1.1569770813839053,-0.7722087493400338,det,False
Eikenella,0.094,0.012,0.984,2.5402806292975235,0.3616858848187615,det,False
Neisseria,0.418,0.067,0.924,1.8086280360454554,0.3053436159233853,det,False
Oxalobacter,0.134,0.839,0.05,0.20974301793043043,-2.036310025750383,int,False
Ralstonia,0.285,0.328,0.264,0.9991028494384028,1.1789557639890325,int,False
Campylobacter,0.62,0.176,0.872,1.3429199573087416,0.547391792946442,det,False
Erwinia,0.001,0.001,1.0,12.033021404698939,0.0,det,True
Morganella,0.353,0.73,0.149,-0.31883831160764026,-1.4734488467982862,int,False
unclassified_Enterobacteriaceae,0.379,0.374,0.375,0.8898209873257422,-1.0171623485142507,int,False
Acinetobacter,0.864,0.282,0.941,-1.0931756030128206,0.09841741131481709,det,False
Haemophilus,0.692,0.677,0.68,-0.4081154326666543,0.6165250951139614,int,False
Pseudomonas,0.328,0.288,0.39,-1.0857343458592292,-0.9145656156232146,det,False
Pyramidobacter,0.938,0.971,0.459,-0.04539797761815536,0.7696408351440948,int,False
Akkermansia,0.51,0.313,0.697,1.031422624803807,-0.4129824305055164,det,False
