cohort,taxon,p_comb,p_det,p_int,z_det,channel,rejected,p_comb_rich,p_det_rich,rejected_rich
ibdmdb,ChristensenellaceaeR7group,0.0077,0.0038,0.7159,0.0,det,False,0.0762,0.0354,False
ibdmdb,Clostridiuminnocuumgroup,0.0489,0.0293,0.14,0.0,det,False,0.0498,0.0298,False
ibdmdb,Eubacteriumeligensgroup,0.029,0.0147,0.425,0.0,det,False,0.2126,0.1305,False
ibdmdb,Eubacteriumventriosumgroup,0.0396,0.0199,0.6049,0.0,det,False,0.2318,0.1173,False
ibdmdb,LachnospiraceaeND3007group,0.0009,0.0005,0.012,0.0,det,False,0.0047,0.003,False
ibdmdb,LachnospiraceaeUCG001,0.0015,0.0008,0.1744,0.0,det,False,0.0051,0.0026,False
ibdmdb,RuminococcaceaeNK4A214group,0.0129,0.0062,0.8754,0.0,det,False,0.1556,0.0508,False
ibdmdb,Ruminococcus1,0.0038,0.0019,0.9287,0.0,det,False,0.0301,0.0128,False
mbqc,Methanobrevibacter,0.0536,0.0261,0.6374,0.0,det,False,0.0005,0.0003,True
mbqc,unclassified_unclassified,0.0007,0.0004,0.0632,0.0,det,True,0.0365,0.026,False
mbqc,Bifidobacterium,0.0144,0.0072,0.4408,0.0,det,True,0.1461,0.0793,False
mbqc,unclassified_Coriobacteriaceae,0.605,0.5561,0.6476,0.0,det,False,0.0118,0.0058,True
mbqc,Bacteroides,0.0086,0.0043,0.4507,0.0,det,True,0.9517,0.9765,False
mbqc,Odoribacter,0.7632,0.2843,0.8972,0.0,det,False,0.0088,0.0044,True
mbqc,Paraprevotella,0.0007,0.0004,0.0237,0.0,det,True,0.0336,0.0574,False
mbqc,unclassified_Rikenellaceae,0.0009,0.0005,0.0485,0.0,det,True,0.0054,0.0028,True
mbqc,Bacillus,0.0065,0.0032,0.2453,0.0,det,True,0.3618,0.5202,False
mbqc,Paenibacillus,0.0165,0.0083,0.8576,0.0,det,False,0.8187,0.7529,False
mbqc,unclassified_Planococcaceae,0.0002,0.0001,0.4353,0.0,det,True,0.0002,0.0001,True
mbqc,Enterococcus,0.004,0.0021,0.1407,0.0,det,True,0.0166,0.0087,False
mbqc,Gemella,0.0002,0.0001,0.9257,0.0,det,True,0.0002,0.0001,True
mbqc,Pediococcus,0.0001,0.0001,0.0242,0.0,det,True,0.0001,0.0001,True
mbqc,unclassified_Enterococcaceae,0.0001,0.0001,0.0001,0.0,det,True,0.0001,0.0001,True
mbqc,unclassified_Gemellaceae,0.0002,0.0001,0.9997,0.0,det,True,0.0002,0.0001,True
mbqc,Turicibacter,0.8561,0.5895,0.9199,0.0,det,False,0.0098,0.0046,True
mbqc,Christensenella,0.0002,0.0001,0.1501,0.0,det,True,0.0002,0.0001,True
mbqc,unclassified_Christensenellaceae,0.0003,0.2121,0.0002,0.0,int,True,0.0004,0.7247,True
mbqc,SMB53,0.0001,0.0001,1.0,0.0,det,True,0.0001,0.0001,True
mbqc,Sarcina,0.0001,0.0001,1.0,0.0,det,True,0.0001,0.0001,True
mbqc,unclassified_Lachnospiraceae,0.0036,0.0018,0.2843,0.0,det,True,0.2641,0.2472,False
mbqc,[Ruminococcus],0.0096,0.3719,0.0049,0.0,int,True,0.0087,0.0348,True
mbqc,Coprococcus,0.0001,0.0001,0.0001,0.0,det,True,0.0001,0.0001,True
mbqc,Dorea,0.0003,0.0138,0.0002,0.0,int,True,0.0003,0.0704,True
mbqc,Epulopiscium,0.0001,0.0001,1.0,0.0,det,True,0.0001,0.0001,True
mbqc,Lachnobacterium,0.0002,0.0001,0.6688,0.0,det,True,0.0002,0.0001,True
mbqc,Roseburia,0.0001,0.0001,0.0001,0.0,int,True,0.0001,0.0001,True
mbqc,Anaerotruncus,0.0001,0.0001,0.3562,0.0,det,True,0.0001,0.0001,True
mbqc,rc4-4,0.0174,0.5566,0.0085,0.0,int,False,0.0173,0.5273,False
mbqc,unclassified_Peptococcaceae,0.025,0.0128,0.4122,0.0,det,False,0.0007,0.0004,True
mbqc,unclassified_Peptostreptococcaceae,0.0001,0.0001,0.0002,0.0,det,True,0.0001,0.0001,True
mbqc,unclassified_Ruminococcaceae,0.0001,0.0001,0.0001,0.0,det,True,0.0001,0.0005,True
mbqc,Acidaminococcus,0.0002,0.0001,0.9797,0.0,det,True,0.0002,0.0001,True
mbqc,Coprobacillus,0.0002,0.0001,0.5902,0.0,det,True,0.0007,0.0004,True
mbqc,Fusobacterium,0.0179,0.0086,0.8915,0.0,det,False,0.6606,0.1645,False
mbqc,Sutterella,0.0112,0.0045,0.9747,0.0,det,True,0.9082,0.0536,False
mbqc,Desulfovibrio,0.3289,0.2488,0.4502,0.0,det,False,0.0012,0.0006,True
mbqc,Erwinia,0.0001,0.0001,1.0,0.0,det,True,0.0001,0.0001,True
agp,1-68,0.0004,0.0002,0.9718,0.0,det,True,0.0037,0.0018,False
agp,Akkermansia,0.0001,0.0001,0.1658,0.0,det,True,0.0001,0.0001,True
agp,Bacteroides,0.0369,0.1556,0.0204,0.0,int,False,0.0487,0.8759,False
agp,Bilophila,0.0222,0.2389,0.0114,0.0,int,False,0.0234,0.6818,False
agp,Butyricimonas,0.0015,0.0008,0.5353,0.0,det,True,0.0148,0.0074,False
agp,Campylobacter,0.0002,0.0001,0.9001,0.0,det,True,0.001,0.0005,True
agp,Enterococcus,0.0291,0.0142,0.7738,0.0,det,False,0.0334,0.0161,False
agp,Faecalibacterium,0.0289,0.0168,0.0858,0.0,det,False,0.1588,0.4818,False
agp,Holdemania,0.0144,0.0077,0.1899,0.0,det,False,0.0051,0.0026,False
agp,Lachnobacterium,0.001,0.0005,0.6293,0.0,det,True,0.0044,0.0023,False
agp,Lachnospira,0.0334,0.09,0.0204,0.0,int,False,0.0423,0.7277,False
agp,Parabacteroides,0.0125,0.0065,0.2479,0.0,det,False,0.1926,0.1579,False
agp,Prevotella,0.0055,0.0029,0.0565,0.0,det,True,0.0461,0.037,False
agp,Ruminococcus,0.0192,0.0104,0.1087,0.0,det,False,0.1799,0.416,False
agp,Streptococcus,0.0041,0.8124,0.002,0.0,int,True,0.004,0.83,False
agp,Varibaculum,0.0167,0.0082,0.7763,0.0,det,False,0.0873,0.0387,False
agp,WAL_1855D,0.0014,0.0007,0.9617,0.0,det,True,0.0134,0.0058,False
agp,rc4-4,0.002,0.001,0.1372,0.0,det,True,0.0064,0.0033,False
agp,unclassified_Coriobacteriaceae,0.0139,0.0071,0.3955,0.0,det,False,0.1605,0.0952,False
agp,unclassified_Oxalobacteraceae,0.0039,0.002,0.7696,0.0,det,True,0.0312,0.015,False
agp,unclassified_Rikenellaceae,0.0186,0.0089,0.8696,0.0,det,False,0.7272,0.343,False
agp,unclassified_Victivallaceae,0.0055,0.0027,0.3515,0.0,det,True,0.0434,0.0223,False
agp,unclassified_[Cerasicoccaceae],0.0042,0.0021,0.5421,0.0,det,True,0.0195,0.0096,False
agp,unclassified_[Mogibacteriaceae],0.0005,0.0003,0.6251,0.0,det,True,0.0171,0.0084,False
agp,unclassified_unknown,0.0021,0.1798,0.0011,0.0,int,True,0.0022,0.9349,False
