cell,rep,nrej,fdp,tpr,szero_n,secs
1005,0,9,0.0,0.9,0,18.8
1005,1,8,0.0,0.8,0,23.8
1005,2,9,0.1111111111111111,0.8,0,19.8
1005,3,7,0.0,0.7,0,17.4
1005,4,8,0.0,0.8,0,20.2
1005,5,9,0.0,0.9,0,21.1
1005,6,11,0.18181818181818182,0.9,0,22.0
1005,7,9,0.1111111111111111,0.8,0,21.5
1005,8,8,0.0,0.8,0,18.1
1005,9,9,0.0,0.9,0,21.6
1005,10,11,0.18181818181818182,0.9,0,24.3
1005,11,9,0.1111111111111111,0.8,0,25.8
1005,12,8,0.0,0.8,0,23.0
1005,13,9,0.1111111111111111,0.8,0,21.2
1005,14,11,0.09090909090909091,1.0,0,20.4
1005,15,7,0.0,0.7,0,24.6
1005,16,10,0.0,1.0,0,20.4
1005,17,9,0.1111111111111111,0.8,0,17.3
1005,18,8,0.0,0.8,0,18.0
1005,19,11,0.18181818181818182,0.9,0,20.2
1009,0,14,0.5714285714285714,0.6,30,14.1
1009,1,18,0.6111111111111112,0.7,30,13.4
1009,2,17,0.4117647058823529,1.0,30,16.0
1009,3,15,0.4,0.9,30,13.3
1009,4,12,0.4166666666666667,0.7,30,13.0
1009,5,11,0.2727272727272727,0.8,30,17.0
1009,6,15,0.5333333333333333,0.7,30,11.5
1009,7,15,0.4666666666666667,0.8,30,14.5
1009,8,36,0.75,0.9,30,13.5
1009,9,13,0.5384615384615384,0.6,30,13.0
1009,10,20,0.6,0.8,30,14.4
1009,11,12,0.4166666666666667,0.7,30,13.3
1009,12,13,0.3076923076923077,0.9,30,13.3
1009,13,15,0.4666666666666667,0.8,30,12.6
1009,14,16,0.375,1.0,30,12.6
1009,15,16,0.5625,0.7,30,14.3
1009,16,10,0.2,0.8,30,15.9
1009,17,15,0.5333333333333333,0.7,30,11.7
1009,18,12,0.3333333333333333,0.8,30,13.3
1009,19,21,0.5714285714285714,0.9,30,15.0
