cell,rep,arm,nrej,fdp,tpr
2001,0,A0,12,0.75,0.3
2001,0,A2,11,0.7272727272727273,0.3
2001,1,A0,16,0.875,0.2
2001,1,A2,15,0.8666666666666667,0.2
2001,2,A0,7,0.42857142857142855,0.4
2001,2,A2,7,0.42857142857142855,0.4
2001,3,A0,15,0.9333333333333333,0.1
2001,3,A2,15,0.9333333333333333,0.1
2001,4,A0,8,1.0,0.0
2001,4,A2,8,1.0,0.0
2001,5,A0,10,0.7,0.3
2001,5,A2,9,0.6666666666666666,0.3
2001,6,A0,16,0.875,0.2
2001,6,A2,17,0.8823529411764706,0.2
2001,7,A0,20,0.8,0.4
2001,7,A2,20,0.8,0.4
2001,8,A0,9,0.7777777777777778,0.2
2001,8,A2,10,0.8,0.2
2001,9,A0,21,0.9523809523809523,0.1
2001,9,A2,19,0.9473684210526315,0.1
2001,10,A0,9,0.8888888888888888,0.1
2001,10,A2,10,0.9,0.1
2001,11,A0,10,0.8,0.2
2001,11,A2,11,0.7272727272727273,0.3
2001,12,A0,7,1.0,0.0
2001,12,A2,7,1.0,0.0
2001,13,A0,19,0.7368421052631579,0.5
2001,13,A2,19,0.7368421052631579,0.5
2001,14,A0,11,0.8181818181818182,0.2
2001,14,A2,10,0.8,0.2
2001,15,A0,7,0.7142857142857143,0.2
2001,15,A2,6,0.6666666666666666,0.2
2001,16,A0,9,0.7777777777777778,0.2
2001,16,A2,8,0.75,0.2
2001,17,A0,11,0.9090909090909091,0.1
2001,17,A2,11,0.9090909090909091,0.1
2001,18,A0,20,0.8,0.4
2001,18,A2,20,0.8,0.4
2001,19,A0,16,0.875,0.2
2001,19,A2,15,0.8666666666666667,0.2
2002,0,A0,21,0.6666666666666666,0.7
2002,0,A2,20,0.65,0.7
2002,1,A0,13,0.46153846153846156,0.7
2002,1,A2,13,0.46153846153846156,0.7
2002,2,A0,9,0.4444444444444444,0.5
2002,2,A2,9,0.4444444444444444,0.5
2002,3,A0,20,0.6,0.8
2002,3,A2,17,0.5294117647058824,0.8
2002,4,A0,16,0.6875,0.5
2002,4,A2,16,0.6875,0.5
2002,5,A0,16,0.6875,0.5
2002,5,A2,16,0.6875,0.5
2002,6,A0,18,0.7222222222222222,0.5
2002,6,A2,18,0.7222222222222222,0.5
2002,7,A0,12,0.5833333333333334,0.5
2002,7,A2,12,0.5833333333333334,0.5
2002,8,A0,11,0.5454545454545454,0.5
2002,8,A2,11,0.5454545454545454,0.5
2002,9,A0,18,0.6666666666666666,0.6
2002,9,A2,16,0.625,0.6
2002,10,A0,10,0.4,0.6
2002,10,A2,10,0.4,0.6
2002,11,A0,13,0.46153846153846156,0.7
2002,11,A2,13,0.46153846153846156,0.7
2002,12,A0,18,0.6666666666666666,0.6
2002,12,A2,18,0.6666666666666666,0.6
2002,13,A0,12,0.5,0.6
2002,13,A2,12,0.5,0.6
2002,14,A0,13,0.5384615384615384,0.6
2002,14,A2,12,0.5,0.6
2002,15,A0,21,0.6666666666666666,0.7
2002,15,A2,21,0.6666666666666666,0.7
2002,16,A0,23,0.6956521739130435,0.7
2002,16,A2,21,0.6666666666666666,0.7
2002,17,A0,21,0.7142857142857143,0.6
2002,17,A2,20,0.7,0.6
2002,18,A0,15,0.6666666666666666,0.5
2002,18,A2,17,0.7058823529411765,0.5
2002,19,A0,16,0.6875,0.5
2002,19,A2,15,0.6666666666666666,0.5
2003,0,A0,23,0.5652173913043478,1.0
2003,0,A2,23,0.5652173913043478,1.0
2003,1,A0,15,0.4,0.9
2003,1,A2,16,0.4375,0.9
2003,2,A0,24,0.6666666666666666,0.8
2003,2,A2,24,0.6666666666666666,0.8
2003,3,A0,23,0.6086956521739131,0.9
2003,3,A2,22,0.5909090909090909,0.9
2003,4,A0,13,0.38461538461538464,0.8
2003,4,A2,13,0.38461538461538464,0.8
2003,5,A0,14,0.42857142857142855,0.8
2003,5,A2,14,0.42857142857142855,0.8
2003,6,A0,19,0.5263157894736842,0.9
2003,6,A2,18,0.5,0.9
2003,7,A0,18,0.5,0.9
2003,7,A2,17,0.47058823529411764,0.9
2003,8,A0,19,0.5263157894736842,0.9
2003,8,A2,17,0.5882352941176471,0.7
2003,9,A0,23,0.5652173913043478,1.0
2003,9,A2,24,0.5833333333333334,1.0
2003,10,A0,12,0.25,0.9
2003,10,A2,12,0.25,0.9
2003,11,A0,18,0.5555555555555556,0.8
2003,11,A2,17,0.5294117647058824,0.8
2003,12,A0,21,0.5714285714285714,0.9
2003,12,A2,21,0.5714285714285714,0.9
2003,13,A0,23,0.6521739130434783,0.8
2003,13,A2,25,0.64,0.9
2003,14,A0,23,0.5652173913043478,1.0
2003,14,A2,20,0.5,1.0
2003,15,A0,18,0.5,0.9
2003,15,A2,18,0.5,0.9
2003,16,A0,19,0.47368421052631576,1.0
2003,16,A2,19,0.47368421052631576,1.0
2003,17,A0,21,0.5714285714285714,0.9
2003,17,A2,21,0.5714285714285714,0.9
2003,18,A0,17,0.5294117647058824,0.8
2003,18,A2,16,0.5,0.8
2003,19,A0,21,0.5238095238095238,1.0
2003,19,A2,20,0.55,0.9
