cell,rep,failed,n_tested,n_filtered,nrej,fdp,tpr,nrej_ss,fdp_ss,tpr_ss,szero_n,szero_hitP,typeI,secs
2000,0,0,55,45,13,0.3076923076923077,0.9,3,0.0,0.3,3,0,0.28888888888888886,15.6
2000,1,0,50,50,16,0.375,1.0,1,1.0,0.0,3,0,0.3,15.1
2000,2,0,49,51,15,0.3333333333333333,1.0,5,0.2,0.4,0,0,0.23076923076923078,12.9
2000,3,0,48,52,12,0.16666666666666666,1.0,0,0.0,0.0,1,0,0.2894736842105263,14.3
2000,4,0,47,53,13,0.23076923076923078,1.0,1,0.0,0.1,6,0,0.2702702702702703,12.6
2000,5,0,57,43,17,0.4117647058823529,1.0,0,0.0,0.0,1,0,0.3191489361702128,15.3
2000,6,0,51,49,14,0.2857142857142857,1.0,1,1.0,0.0,2,0,0.2682926829268293,15.0
2000,7,0,53,47,13,0.23076923076923078,1.0,1,0.0,0.1,0,0,0.20930232558139536,16.3
2000,8,0,52,48,17,0.4117647058823529,1.0,1,0.0,0.1,1,0,0.3333333333333333,15.5
2000,9,0,56,44,19,0.47368421052631576,1.0,4,0.25,0.3,1,0,0.32608695652173914,13.4
2000,10,0,52,48,19,0.47368421052631576,1.0,3,0.0,0.3,2,0,0.42857142857142855,13.4
2000,11,0,57,43,17,0.4117647058823529,1.0,3,0.3333333333333333,0.2,3,0,0.2978723404255319,15.8
2000,12,0,51,49,11,0.09090909090909091,1.0,2,0.0,0.2,3,0,0.17073170731707318,14.7
2000,13,0,55,45,18,0.4444444444444444,1.0,2,0.0,0.2,3,0,0.4,15.0
2000,14,0,54,46,17,0.4117647058823529,1.0,2,0.0,0.2,3,0,0.2727272727272727,15.4
2000,15,0,53,47,12,0.16666666666666666,1.0,5,0.2,0.4,3,0,0.23255813953488372,15.1
2000,16,0,46,54,16,0.375,1.0,1,1.0,0.0,0,0,0.3055555555555556,10.8
2000,17,0,50,50,15,0.3333333333333333,1.0,1,0.0,0.1,5,0,0.3,13.0
2000,18,0,51,49,14,0.42857142857142855,0.8,2,0.0,0.2,1,0,0.21951219512195122,14.8
2000,19,0,57,43,19,0.47368421052631576,1.0,1,1.0,0.0,1,0,0.3829787234042553,16.0
2001,0,0,57,43,6,0.6666666666666666,0.2,2,0.0,0.2,2,0,0.2765957446808511,15.8
2001,1,0,49,51,8,0.875,0.1,1,0.0,0.1,0,0,0.41025641025641024,12.9
2001,2,0,50,50,4,0.5,0.2,3,0.3333333333333333,0.2,1,0,0.15,14.7
2001,3,0,56,44,8,1.0,0.0,1,1.0,0.0,2,0,0.34782608695652173,15.0
2001,4,0,54,46,6,1.0,0.0,1,1.0,0.0,3,0,0.29545454545454547,13.8
2001,5,0,52,48,5,0.6,0.2,2,0.0,0.2,1,0,0.21428571428571427,14.4
2001,6,0,57,43,10,0.9,0.1,2,0.5,0.1,2,0,0.3617021276595745,16.3
2001,7,0,56,44,10,0.7,0.3,3,0.0,0.3,0,0,0.43478260869565216,16.7
2001,8,0,61,39,7,0.7142857142857143,0.2,2,0.0,0.2,0,0,0.27450980392156865,19.4
2001,9,0,59,41,11,0.9090909090909091,0.1,1,0.0,0.1,1,0,0.46938775510204084,18.7
2001,10,0,50,50,8,0.875,0.1,1,0.0,0.1,0,0,0.4,18.6
2001,11,0,47,53,8,0.875,0.1,1,0.0,0.1,2,0,0.2972972972972973,16.2
2001,12,0,56,44,6,1.0,0.0,0,0.0,0.0,3,0,0.32608695652173914,17.0
2001,13,0,58,42,11,0.7272727272727273,0.3,3,0.0,0.3,0,0,0.4166666666666667,16.1
2001,14,0,47,53,5,0.8,0.1,1,0.0,0.1,0,0,0.40540540540540543,12.5
2001,15,0,54,46,5,0.8,0.1,1,0.0,0.1,0,0,0.1590909090909091,15.5
2001,16,0,53,47,4,1.0,0.0,1,1.0,0.0,1,0,0.2558139534883721,14.6
2001,17,0,57,43,8,1.0,0.0,0,0.0,0.0,2,0,0.40425531914893614,16.0
2001,18,0,51,49,12,0.9166666666666666,0.1,2,0.5,0.1,1,0,0.4146341463414634,14.0
2001,19,0,56,44,10,0.8,0.2,3,0.3333333333333333,0.2,2,0,0.34782608695652173,15.6
2002,0,0,54,46,17,0.6470588235294118,0.6,5,0.2,0.4,1,0,0.36363636363636365,0.0
2002,1,0,45,55,10,0.4,0.6,3,0.0,0.3,2,0,0.22857142857142856,14.1
2002,2,0,52,48,7,0.2857142857142857,0.5,1,0.0,0.1,1,0,0.21428571428571427,15.4
2002,3,0,56,44,13,0.38461538461538464,0.8,4,0.0,0.4,3,0,0.34782608695652173,16.8
2002,4,0,56,44,14,0.6428571428571429,0.5,1,1.0,0.0,3,0,0.2826086956521739,15.2
2002,5,0,58,42,15,0.6666666666666666,0.5,2,0.0,0.2,0,0,0.3333333333333333,17.1
2002,6,0,54,46,16,0.6875,0.5,0,0.0,0.0,1,0,0.4090909090909091,15.3
2002,7,0,55,45,11,0.5454545454545454,0.5,2,0.0,0.2,0,0,0.3111111111111111,16.8
2002,8,0,56,44,7,0.2857142857142857,0.5,1,0.0,0.1,2,0,0.2608695652173913,16.8
2002,9,0,56,44,11,0.6363636363636364,0.4,1,1.0,0.0,0,0,0.34782608695652173,16.5
2002,10,0,56,44,8,0.25,0.6,1,0.0,0.1,0,0,0.17391304347826086,16.4
2002,11,0,56,44,10,0.4,0.6,2,0.0,0.2,5,0,0.2391304347826087,16.3
2002,12,0,47,53,13,0.5384615384615384,0.6,2,0.0,0.2,3,0,0.35135135135135137,13.9
2002,13,0,55,45,8,0.375,0.5,0,0.0,0.0,1,0,0.28888888888888886,29.2
2002,14,0,58,42,11,0.5454545454545454,0.5,1,0.0,0.1,0,0,0.22916666666666666,31.9
2002,15,0,51,49,17,0.6470588235294118,0.6,3,0.3333333333333333,0.2,1,0,0.4146341463414634,24.8
2002,16,0,56,44,12,0.5833333333333334,0.5,2,0.5,0.1,1,0,0.41304347826086957,21.2
2002,17,0,57,43,13,0.5384615384615384,0.6,3,0.3333333333333333,0.2,1,0,0.3829787234042553,17.1
2002,18,0,54,46,9,0.4444444444444444,0.5,1,1.0,0.0,0,0,0.3181818181818182,15.0
2002,19,0,53,47,9,0.4444444444444444,0.5,1,1.0,0.0,0,0,0.32558139534883723,14.4
2003,0,0,56,44,16,0.5,0.8,2,0.0,0.2,5,0,0.32608695652173914,15.2
2003,1,0,53,47,11,0.2727272727272727,0.8,2,0.0,0.2,4,0,0.27906976744186046,14.5
2003,2,0,63,37,14,0.5714285714285714,0.6,1,0.0,0.1,3,0,0.39622641509433965,16.3
2003,3,0,59,41,17,0.5294117647058824,0.8,2,0.5,0.1,8,0,0.3877551020408163,15.7
2003,4,0,51,49,10,0.2,0.8,2,0.0,0.2,5,0,0.24390243902439024,15.3
2003,5,0,50,50,11,0.2727272727272727,0.8,0,0.0,0.0,9,0,0.275,12.0
2003,6,0,56,44,11,0.18181818181818182,0.9,0,0.0,0.0,6,0,0.2391304347826087,17.3
2003,7,0,55,45,11,0.36363636363636365,0.7,0,0.0,0.0,3,0,0.28888888888888886,14.6
2003,8,0,54,46,12,0.5,0.6,1,0.0,0.1,6,0,0.29545454545454547,15.0
2003,9,0,50,50,20,0.5,1.0,2,0.5,0.1,8,0,0.4,12.8
