cohort,taxon,prevalence,in_top100,p_comb,channel,rej_unadj,rej_wdet,rej_rich,was_official
mbqc,Methanobrevibacter,0.26,True,0.0446,det,False,False,True,False
mbqc,unclassified_unclassified,0.9614,True,0.0007,det,True,True,False,True
mbqc,unclassified_unknown,0.1,False,0.0001,det,True,True,True,False
mbqc,Bifidobacterium,0.7957,True,0.0165,det,False,True,False,True
mbqc,unclassified_Bifidobacteriaceae,0.0843,False,0.0001,det,True,True,True,False
mbqc,unclassified_Coriobacteriaceae,0.6686,True,0.5976,det,False,False,True,False
mbqc,Bacteroides,0.9686,True,0.0099,det,True,False,False,True
mbqc,Paraprevotella,0.3443,True,0.0019,det,True,True,False,True
mbqc,unclassified_Rikenellaceae,0.8971,True,0.0007,det,True,True,True,True
mbqc,Chryseobacterium,0.0571,False,0.8573,int,False,False,True,False
mbqc,Flavobacterium,0.0371,False,0.3282,int,False,False,True,False
mbqc,Anaerobacillus,0.0471,False,0.0001,det,True,True,True,False
mbqc,Bacillus,0.3586,True,0.0063,det,True,True,False,True
mbqc,Paenibacillus,0.2829,True,0.0211,det,False,True,False,False
mbqc,unclassified_Planococcaceae,0.1257,True,0.0002,det,True,True,True,True
mbqc,Abiotrophia,0.0629,False,0.0001,det,True,True,True,False
mbqc,Enterococcus,0.7929,True,0.0045,det,True,True,False,True
mbqc,Gemella,0.2271,True,0.0002,det,True,True,True,True
mbqc,Pediococcus,0.3029,True,0.0005,det,True,True,True,True
mbqc,Vagococcus,0.05,False,0.0002,det,True,True,True,False
mbqc,unclassified_Aerococcaceae,0.0186,False,0.0005,det,True,True,False,False
mbqc,unclassified_Enterococcaceae,0.27,True,0.0001,det,True,True,True,True
mbqc,unclassified_Gemellaceae,0.2657,True,0.0002,det,True,True,True,True
mbqc,unclassified_Lactobacillaceae,0.0157,False,0.0005,det,True,True,True,False
mbqc,Turicibacter,0.5514,True,0.8481,det,False,False,True,False
mbqc,unclassified_Streptococcaceae,0.0886,False,0.0001,det,True,True,True,False
mbqc,02d06,0.0886,False,0.0001,det,True,True,True,False
mbqc,Christensenella,0.3271,True,0.0001,det,True,True,True,True
mbqc,Parvimonas,0.24,True,0.9308,int,False,False,True,False
mbqc,unclassified_Christensenellaceae,0.5443,True,0.0003,int,True,True,True,True
mbqc,SMB53,0.2871,True,0.0001,det,True,True,True,True
mbqc,Sarcina,0.1243,True,0.0001,det,True,True,True,True
mbqc,unclassified_Lachnospiraceae,0.9557,True,0.0023,det,True,True,False,True
mbqc,[Ruminococcus],0.9171,True,0.0082,int,True,True,True,True
mbqc,Coprococcus,0.8986,True,0.0001,det,True,True,True,True
mbqc,Dorea,0.9029,True,0.0007,int,True,True,True,True
mbqc,Epulopiscium,0.1557,True,0.0001,det,True,True,True,True
mbqc,Lachnobacterium,0.3057,True,0.0001,det,True,True,True,True
mbqc,Roseburia,0.81,True,0.0001,int,True,True,True,True
mbqc,Anaerotruncus,0.2843,True,0.0002,det,True,True,True,True
mbqc,rc4-4,0.1814,True,0.0175,int,False,True,False,False
mbqc,unclassified_Peptococcaceae,0.4029,True,0.0269,det,False,True,True,False
mbqc,unclassified_Peptostreptococcaceae,0.4943,True,0.0001,det,True,True,True,True
mbqc,unclassified_Ruminococcaceae,0.95,True,0.0001,det,True,True,True,True
mbqc,Acidaminococcus,0.1243,True,0.0002,det,True,True,True,True
mbqc,Coprobacillus,0.4171,True,0.0001,det,True,True,True,True
mbqc,Megasphaera,0.2371,True,0.4332,det,False,False,True,False
mbqc,unclassified_Veillonellaceae,0.1186,False,0.0001,det,True,True,True,False
mbqc,Fusobacterium,0.6771,True,0.0247,det,False,True,False,False
mbqc,Sneathia,0.0543,False,0.7863,det,False,False,True,False
mbqc,unclassified_Bradyrhizobiaceae,0.0271,False,0.0008,det,True,True,True,False
mbqc,Sutterella,0.8229,True,0.0122,det,True,True,False,True
mbqc,Conchiformibius,0.0371,False,0.0001,det,True,True,True,False
mbqc,Desulfovibrio,0.3214,True,0.3206,det,False,False,True,False
mbqc,Janthinobacterium,0.05,False,0.4666,det,False,False,True,False
mbqc,Limnohabitans,0.0214,False,0.0001,det,True,True,True,False
mbqc,unclassified_Oxalobacteraceae,0.1,False,0.0004,det,True,True,True,False
mbqc,unclassified_Rhodocyclaceae,0.05,False,0.0002,det,True,True,True,False
mbqc,Citrobacter,0.0557,False,0.0001,det,True,True,True,False
mbqc,Enterobacter,0.0229,False,0.0001,det,True,True,True,False
mbqc,Erwinia,0.19,True,0.0001,det,True,True,True,True
mbqc,Gluconacetobacter,0.0429,False,0.0122,det,True,False,True,False
mbqc,Klebsiella,0.0543,False,0.0001,det,True,True,True,False
mbqc,Salmonella,0.07,False,0.0001,det,True,True,True,False
mbqc,Serratia,0.0686,False,0.0001,det,True,True,True,False
mbqc,Trabulsiella,0.0143,False,0.0005,det,True,True,True,False
mbqc,Yersinia,0.07,False,0.0002,det,True,True,True,False
mbqc,unclassified_Aeromonadaceae,0.0429,False,0.0002,det,True,True,False,False
mbqc,Acinetobacter,0.2871,True,0.945,det,False,False,True,False
mbqc,Actinobacillus,0.0171,False,0.0004,det,True,True,True,False
mbqc,Leptospira,0.0986,False,0.0068,det,True,True,False,False
mbqc,Mycoplasma,0.03,False,0.0675,det,False,False,True,False
mbqc,Stenotrophomonas,0.0329,False,0.0078,int,True,False,True,False
mbqc,unclassified_Moraxellaceae,0.08,False,0.0002,det,True,True,False,False
mbqc,unclassified_Pasteurellaceae,0.0343,False,0.0001,det,True,True,True,False
agp,1-68,0.2071,True,0.0004,det,True,True,False,True
agp,Akkermansia,0.6143,True,0.0001,det,True,True,True,True
agp,Butyricimonas,0.4643,True,0.0015,det,True,True,False,True
agp,Campylobacter,0.1257,True,0.0002,det,True,True,True,True
agp,Lachnobacterium,0.27,True,0.0024,det,True,True,False,True
agp,Mobiluncus,0.0357,False,0.0006,det,True,True,False,False
agp,Prevotella,0.6986,True,0.0068,det,False,True,False,True
agp,Streptococcus,0.8086,True,0.0042,int,False,True,False,True
agp,WAL_1855D,0.3314,True,0.0012,det,True,True,False,True
agp,rc4-4,0.23,True,0.0013,det,True,True,False,True
agp,unclassified_Oxalobacteraceae,0.31,True,0.0066,det,False,True,False,True
agp,unclassified_[Mogibacteriaceae],0.7443,True,0.0007,det,True,True,False,True
agp,unclassified_unknown,0.98,True,0.0022,int,True,False,False,True
