cell,rep,method,arm,weight,secs,nfail,nrej,fdp,tpr,tprP,typeI
2001,0,deseq2,A0,none,763.2,1,2,0.0,0.2,0.2,0.0
2001,0,deseq2,A2,Wdet,,1,2,0.0,0.2,0.2,
2001,0,deseq2,A2,Winfo,,1,2,0.0,0.2,0.2,
2001,1,deseq2,A0,none,544.9,0,0,0.0,0.0,0.0,0.011111111111111112
2001,1,deseq2,A2,Wdet,,0,0,0.0,0.0,0.0,
2001,1,deseq2,A2,Winfo,,0,0,0.0,0.0,0.0,
2001,2,deseq2,A0,none,833.8,0,0,0.0,0.0,0.0,0.011111111111111112
2001,2,deseq2,A2,Wdet,,0,0,0.0,0.0,0.0,
2001,2,deseq2,A2,Winfo,,0,0,0.0,0.0,0.0,
2001,3,deseq2,A0,none,759.5,1,0,0.0,0.0,0.0,0.0
2001,3,deseq2,A2,Wdet,,1,0,0.0,0.0,0.0,
2001,3,deseq2,A2,Winfo,,1,0,0.0,0.0,0.0,
2001,4,deseq2,A0,none,751.2,0,0,0.0,0.0,0.0,0.022222222222222223
2001,4,deseq2,A2,Wdet,,0,0,0.0,0.0,0.0,
2001,4,deseq2,A2,Winfo,,0,0,0.0,0.0,0.0,
2001,5,deseq2,A0,none,384.3,0,0,0.0,0.0,0.0,0.0
2001,5,deseq2,A2,Wdet,,0,0,0.0,0.0,0.0,
2001,5,deseq2,A2,Winfo,,0,0,0.0,0.0,0.0,
2001,6,deseq2,A0,none,374.0,0,0,0.0,0.0,0.0,0.011111111111111112
2001,6,deseq2,A2,Wdet,,0,0,0.0,0.0,0.0,
2001,6,deseq2,A2,Winfo,,0,0,0.0,0.0,0.0,
2001,7,deseq2,A0,none,456.0,0,0,0.0,0.0,0.0,0.022222222222222223
2001,7,deseq2,A2,Wdet,,0,0,0.0,0.0,0.0,
2001,7,deseq2,A2,Winfo,,0,0,0.0,0.0,0.0,
2001,8,deseq2,A0,none,778.7,0,0,0.0,0.0,0.0,0.022222222222222223
2001,8,deseq2,A2,Wdet,,0,0,0.0,0.0,0.0,
2001,8,deseq2,A2,Winfo,,0,0,0.0,0.0,0.0,
2001,9,deseq2,A0,none,540.5,1,0,0.0,0.0,0.0,0.02247191011235955
2001,9,deseq2,A2,Wdet,,1,0,0.0,0.0,0.0,
2001,9,deseq2,A2,Winfo,,1,0,0.0,0.0,0.0,
2001,10,deseq2,A0,none,842.8,0,3,0.0,0.3,0.3,0.011111111111111112
2001,10,deseq2,A2,Wdet,,0,4,0.0,0.4,0.4,
2001,10,deseq2,A2,Winfo,,0,4,0.0,0.4,0.4,
2001,11,deseq2,A0,none,959.5,1,0,0.0,0.0,0.0,0.0449438202247191
2001,11,deseq2,A2,Wdet,,1,1,0.0,0.1,0.1,
2001,11,deseq2,A2,Winfo,,1,2,0.5,0.1,0.1,
2001,12,deseq2,A0,none,671.4,1,2,0.0,0.2,0.2,0.011235955056179775
2001,12,deseq2,A2,Wdet,,1,5,0.0,0.5,0.5,
2001,12,deseq2,A2,Winfo,,1,5,0.0,0.5,0.5,
2001,13,deseq2,A0,none,350.6,0,3,0.0,0.3,0.3,0.011111111111111112
2001,13,deseq2,A2,Wdet,,0,4,0.0,0.4,0.4,
2001,13,deseq2,A2,Winfo,,0,3,0.0,0.3,0.3,
2001,14,deseq2,A0,none,360.4,0,0,0.0,0.0,0.0,0.0
2001,14,deseq2,A2,Wdet,,0,0,0.0,0.0,0.0,
2001,14,deseq2,A2,Winfo,,0,0,0.0,0.0,0.0,
2001,15,deseq2,A0,none,461.3,0,0,0.0,0.0,0.0,0.0
2001,15,deseq2,A2,Wdet,,0,0,0.0,0.0,0.0,
2001,15,deseq2,A2,Winfo,,0,0,0.0,0.0,0.0,
2001,16,deseq2,A0,none,760.9,1,0,0.0,0.0,0.0,0.011235955056179775
2001,16,deseq2,A2,Wdet,,1,0,0.0,0.0,0.0,
2001,16,deseq2,A2,Winfo,,1,0,0.0,0.0,0.0,
2001,17,deseq2,A0,none,564.2,1,0,0.0,0.0,0.0,0.011235955056179775
2001,17,deseq2,A2,Wdet,,1,3,0.0,0.3,0.3,
2001,17,deseq2,A2,Winfo,,1,3,0.0,0.3,0.3,
2001,18,deseq2,A0,none,343.5,2,0,0.0,0.0,0.0,0.011363636363636364
2001,18,deseq2,A2,Wdet,,2,2,0.0,0.2,0.2,
2001,18,deseq2,A2,Winfo,,2,0,0.0,0.0,0.0,
2001,19,deseq2,A0,none,370.9,0,2,0.0,0.2,0.2,0.011111111111111112
2001,19,deseq2,A2,Wdet,,0,2,0.0,0.2,0.2,
2001,19,deseq2,A2,Winfo,,0,2,0.0,0.2,0.2,
2002,0,deseq2,A0,none,357.8,0,0,0.0,0.0,0.0,0.0
2002,0,deseq2,A2,Wdet,,0,0,0.0,0.0,0.0,
2002,0,deseq2,A2,Winfo,,0,0,0.0,0.0,0.0,
2002,1,deseq2,A0,none,342.2,2,5,0.2,0.4,0.2,0.045454545454545456
2002,1,deseq2,A2,Wdet,,2,5,0.2,0.4,0.2,
2002,1,deseq2,A2,Winfo,,2,7,0.2857142857142857,0.5,0.2,
2002,2,deseq2,A0,none,344.5,0,1,0.0,0.1,0.0,0.022222222222222223
2002,2,deseq2,A2,Wdet,,0,1,0.0,0.1,0.0,
2002,2,deseq2,A2,Winfo,,0,1,0.0,0.1,0.0,
2002,3,deseq2,A0,none,337.0,0,3,0.0,0.3,0.0,0.0
2002,3,deseq2,A2,Wdet,,0,3,0.0,0.3,0.0,
2002,3,deseq2,A2,Winfo,,0,3,0.0,0.3,0.0,
2002,4,deseq2,A0,none,790.7,0,1,0.0,0.1,0.0,0.0
2002,4,deseq2,A2,Wdet,,0,1,0.0,0.1,0.0,
2002,4,deseq2,A2,Winfo,,0,1,0.0,0.1,0.0,
2002,5,deseq2,A0,none,499.7,1,2,0.0,0.2,0.0,0.0
2002,5,deseq2,A2,Wdet,,1,2,0.0,0.2,0.0,
2002,5,deseq2,A2,Winfo,,1,2,0.0,0.2,0.0,
2002,6,deseq2,A0,none,352.9,1,0,0.0,0.0,0.0,0.0
2002,6,deseq2,A2,Wdet,,1,0,0.0,0.0,0.0,
2002,6,deseq2,A2,Winfo,,1,0,0.0,0.0,0.0,
2002,7,deseq2,A0,none,354.4,1,0,0.0,0.0,0.0,0.011235955056179775
2002,7,deseq2,A2,Wdet,,1,0,0.0,0.0,0.0,
2002,7,deseq2,A2,Winfo,,1,1,0.0,0.1,0.0,
2002,8,deseq2,A0,none,430.2,0,0,0.0,0.0,0.0,0.011111111111111112
2002,8,deseq2,A2,Wdet,,0,1,0.0,0.1,0.0,
2002,8,deseq2,A2,Winfo,,0,1,0.0,0.1,0.0,
2002,9,deseq2,A0,none,367.7,0,0,0.0,0.0,0.0,0.011111111111111112
2002,9,deseq2,A2,Wdet,,0,0,0.0,0.0,0.0,
2002,9,deseq2,A2,Winfo,,0,0,0.0,0.0,0.0,
2002,10,deseq2,A0,none,357.2,0,0,0.0,0.0,0.0,0.022222222222222223
2002,10,deseq2,A2,Wdet,,0,1,0.0,0.1,0.0,
2002,10,deseq2,A2,Winfo,,0,1,0.0,0.1,0.0,
2002,11,deseq2,A0,none,382.3,0,2,0.0,0.2,0.2,0.0
2002,11,deseq2,A2,Wdet,,0,2,0.0,0.2,0.2,
