cohort,taxon,p_comb_rich,p_det_rich,still_rejected
ibdmdb,LachnospiraceaeND3007group,0.005,0.004,False
ibdmdb,LachnospiraceaeUCG001,0.001,0.001,False
mbqc,Acidaminococcus,0.002,0.001,True
mbqc,Anaerotruncus,0.002,0.001,True
mbqc,Bacillus,0.341,0.504,False
mbqc,Bacteroides,0.847,0.926,False
mbqc,Christensenella,0.002,0.001,True
mbqc,Coprobacillus,0.002,0.001,True
mbqc,Coprococcus,0.001,0.001,True
mbqc,Dorea,0.003,0.065,True
mbqc,Enterococcus,0.027,0.014,False
mbqc,Epulopiscium,0.001,0.001,True
mbqc,Erwinia,0.001,0.001,True
mbqc,Gemella,0.002,0.001,True
mbqc,Lachnobacterium,0.002,0.001,True
mbqc,Paraprevotella,0.038,0.053,False
mbqc,Pediococcus,0.001,0.001,True
mbqc,Roseburia,0.001,0.001,True
mbqc,SMB53,0.001,0.001,True
mbqc,Sarcina,0.001,0.001,True
mbqc,Sutterella,0.875,0.044,False
mbqc,[Ruminococcus],0.011,0.036,True
mbqc,unclassified_Christensenellaceae,0.002,0.742,True
mbqc,unclassified_Enterococcaceae,0.001,0.001,True
mbqc,unclassified_Gemellaceae,0.003,0.001,True
mbqc,unclassified_Lachnospiraceae,0.283,0.25,False
mbqc,unclassified_Peptostreptococcaceae,0.001,0.001,True
mbqc,unclassified_Planococcaceae,0.001,0.001,True
mbqc,unclassified_Rikenellaceae,0.007,0.004,True
mbqc,unclassified_Ruminococcaceae,0.001,0.001,True
mbqc,unclassified_unclassified,0.025,0.016,False
agp,1-68,0.006,0.003,False
agp,Akkermansia,0.001,0.001,False
agp,Butyricimonas,0.01,0.006,False
agp,Campylobacter,0.002,0.001,False
agp,Prevotella,0.042,0.039,False
agp,rc4-4,0.007,0.004,False
agp,unclassified_Oxalobacteraceae,0.035,0.017,False
agp,unclassified_[Cerasicoccaceae],0.016,0.008,False
agp,unclassified_[Mogibacteriaceae],0.014,0.007,False
agp,unclassified_unknown,0.002,0.933,False
