cell,rep,method,arm,weight,secs,nfail,nrej,fdp,tpr,tprP,typeI
2002,0,deseq2,A0,none,374.0,0,0,0.0,0.0,0.0,0.0
2002,0,deseq2,A2,Wdet,,0,0,0.0,0.0,0.0,
2002,0,deseq2,A2,Winfo,,0,0,0.0,0.0,0.0,
2002,1,deseq2,A0,none,321.5,2,5,0.2,0.4,0.2,0.045454545454545456
2002,1,deseq2,A2,Wdet,,2,5,0.2,0.4,0.2,
2002,1,deseq2,A2,Winfo,,2,7,0.2857142857142857,0.5,0.2,
2002,2,deseq2,A0,none,361.5,0,1,0.0,0.1,0.0,0.022222222222222223
2002,2,deseq2,A2,Wdet,,0,1,0.0,0.1,0.0,
2002,2,deseq2,A2,Winfo,,0,1,0.0,0.1,0.0,
2002,3,deseq2,A0,none,334.9,0,3,0.0,0.3,0.0,0.0
2002,3,deseq2,A2,Wdet,,0,3,0.0,0.3,0.0,
2002,3,deseq2,A2,Winfo,,0,3,0.0,0.3,0.0,
2002,4,deseq2,A0,none,353.6,0,1,0.0,0.1,0.0,0.0
2002,4,deseq2,A2,Wdet,,0,1,0.0,0.1,0.0,
2002,4,deseq2,A2,Winfo,,0,1,0.0,0.1,0.0,
2002,5,deseq2,A0,none,330.2,1,2,0.0,0.2,0.0,0.0
2002,5,deseq2,A2,Wdet,,1,2,0.0,0.2,0.0,
2002,5,deseq2,A2,Winfo,,1,2,0.0,0.2,0.0,
2002,6,deseq2,A0,none,341.8,1,0,0.0,0.0,0.0,0.0
2002,6,deseq2,A2,Wdet,,1,0,0.0,0.0,0.0,
2002,6,deseq2,A2,Winfo,,1,0,0.0,0.0,0.0,
2002,7,deseq2,A0,none,334.2,1,0,0.0,0.0,0.0,0.011235955056179775
2002,7,deseq2,A2,Wdet,,1,0,0.0,0.0,0.0,
2002,7,deseq2,A2,Winfo,,1,1,0.0,0.1,0.0,
2002,8,deseq2,A0,none,396.3,0,0,0.0,0.0,0.0,0.011111111111111112
2002,8,deseq2,A2,Wdet,,0,1,0.0,0.1,0.0,
2002,8,deseq2,A2,Winfo,,0,1,0.0,0.1,0.0,
2002,9,deseq2,A0,none,326.6,0,0,0.0,0.0,0.0,0.011111111111111112
2002,9,deseq2,A2,Wdet,,0,0,0.0,0.0,0.0,
2002,9,deseq2,A2,Winfo,,0,0,0.0,0.0,0.0,
