method,cell,weight,base,n,dTPR,pos,neg,p_wilcoxon,dFDP
twochannel,2001,Wdet,A1,20,0.0,0,0,1.0,-0.0174
twochannel,2001,Winfo,A1,20,0.0,0,0,1.0,-0.0174
twochannel,2002,Wdet,A1,20,0.005,1,0,0.1587,-0.0242
twochannel,2002,Winfo,A1,20,0.005,1,0,0.1587,-0.0192
twochannel,2003,Wdet,A1,20,0.065,10,0,0.0022,-0.0026
twochannel,2003,Winfo,A1,20,0.045,8,0,0.0049,-0.0106
wilcoxon,2001,Wdet,A1,20,0.0,0,0,1.0,-0.0337
wilcoxon,2001,Winfo,A1,20,0.005,1,0,0.1587,-0.0109
wilcoxon,2002,Wdet,A1,20,0.03,5,0,0.0169,-0.0025
wilcoxon,2002,Winfo,A1,20,0.02,4,0,0.0228,0.0083
wilcoxon,2003,Wdet,A1,20,0.015,2,0,0.0899,0.0
wilcoxon,2003,Winfo,A1,20,0.02,3,0,0.0512,0.0
linda,2001,Wdet,A1,20,0.0,0,0,1.0,-0.0577
linda,2001,Winfo,A1,20,0.0,0,0,1.0,-0.0713
linda,2002,Wdet,A1,20,0.015,2,0,0.0899,-0.022
linda,2002,Winfo,A1,20,0.02,3,0,0.0512,-0.0146
linda,2003,Wdet,A1,20,0.0,0,0,1.0,-0.05
linda,2003,Winfo,A1,20,0.0,0,0,1.0,-0.05
zinq,2001,Wdet,A0,20,0.0,0,0,1.0,-0.0044
zinq,2001,Winfo,A0,20,0.0,0,0,1.0,0.046
zinq,2002,Wdet,A0,20,0.02,3,0,0.0544,0.0191
zinq,2002,Winfo,A0,20,0.015,2,0,0.0899,0.0332
zinq,2003,Wdet,A0,20,0.04,7,0,0.008,0.006
zinq,2003,Winfo,A0,20,0.045,9,0,0.0032,0.006
locom,2001,Wdet,A1n,20,0.0,0,0,1.0,-0.0056
locom,2001,Winfo,A1n,20,-0.005,1,2,0.7181,-0.0071
locom,2002,Wdet,A1n,20,0.005,2,1,0.2819,-0.0133
locom,2002,Winfo,A1n,20,-0.015,2,4,0.9165,-0.0044
locom,2003,Wdet,A1n,20,0.0,0,0,1.0,0.0
locom,2003,Winfo,A1n,20,0.005,1,0,0.1587,0.0
ldm,2001,Wdet,A1n,10,0.01,1,0,0.5,0.0108
ldm,2001,Winfo,A1n,10,0.01,1,0,0.5,0.0258
ldm,2002,Wdet,A1n,10,0.02,2,0,0.25,-0.0387
ldm,2002,Winfo,A1n,10,0.02,2,0,0.25,-0.0205
ldm,2003,Wdet,A1n,10,0.05,4,0,0.0625,0.0208
ldm,2003,Winfo,A1n,10,0.05,4,0,0.0625,0.0167
deseq2,2002,Wdet,A0,10,0.01,1,0,0.5,0.0
deseq2,2002,Winfo,A0,10,0.03,3,0,0.125,0.0086
