cell,rep,method,arm,weight,secs,nfail,nrej,fdp,tpr,tprP,typeI
2001,0,ldm,A1n,none,99.1,1,10,0.0,1.0,1.0,0.056179775280898875
2001,0,ldm,A2,Wdet,,1,10,0.0,1.0,1.0,
2001,0,ldm,A2,Winfo,,1,10,0.0,1.0,1.0,
2001,1,ldm,A1n,none,90.4,0,10,0.0,1.0,1.0,0.044444444444444446
2001,1,ldm,A2,Wdet,,0,10,0.0,1.0,1.0,
2001,1,ldm,A2,Winfo,,0,10,0.0,1.0,1.0,
2001,2,ldm,A1n,none,74.7,0,10,0.0,1.0,1.0,0.044444444444444446
2001,2,ldm,A2,Wdet,,0,10,0.0,1.0,1.0,
2001,2,ldm,A2,Winfo,,0,10,0.0,1.0,1.0,
2001,3,ldm,A1n,none,96.6,1,8,0.0,0.8,0.8,0.1348314606741573
2001,3,ldm,A2,Wdet,,1,10,0.1,0.9,0.9,
2001,3,ldm,A2,Winfo,,1,11,0.18181818181818182,0.9,0.9,
2001,4,ldm,A1n,none,91.3,0,12,0.25,0.9,0.9,0.1111111111111111
2001,4,ldm,A2,Wdet,,0,11,0.18181818181818182,0.9,0.9,
2001,4,ldm,A2,Winfo,,0,12,0.25,0.9,0.9,
2001,5,ldm,A1n,none,87.3,0,10,0.0,1.0,1.0,0.03333333333333333
2001,5,ldm,A2,Wdet,,0,10,0.0,1.0,1.0,
2001,5,ldm,A2,Winfo,,0,10,0.0,1.0,1.0,
2001,6,ldm,A1n,none,99.3,0,10,0.0,1.0,1.0,0.08888888888888889
2001,6,ldm,A2,Wdet,,0,10,0.0,1.0,1.0,
2001,6,ldm,A2,Winfo,,0,10,0.0,1.0,1.0,
2001,7,ldm,A1n,none,93.3,0,11,0.09090909090909091,1.0,1.0,0.06666666666666667
2001,7,ldm,A2,Wdet,,0,12,0.16666666666666666,1.0,1.0,
2001,7,ldm,A2,Winfo,,0,12,0.16666666666666666,1.0,1.0,
2001,8,ldm,A1n,none,93.3,0,11,0.09090909090909091,1.0,1.0,0.05555555555555555
2001,8,ldm,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,
2001,8,ldm,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,
2001,9,ldm,A1n,none,96.1,1,10,0.0,1.0,1.0,0.02247191011235955
2001,9,ldm,A2,Wdet,,1,10,0.0,1.0,1.0,
2001,9,ldm,A2,Winfo,,1,10,0.0,1.0,1.0,
2002,0,ldm,A1n,none,102.2,0,10,0.0,1.0,1.0,0.05555555555555555
2002,0,ldm,A2,Wdet,,0,10,0.0,1.0,1.0,
2002,0,ldm,A2,Winfo,,0,10,0.0,1.0,1.0,
2002,1,ldm,A1n,none,86.5,2,12,0.16666666666666666,1.0,1.0,0.11363636363636363
2002,1,ldm,A2,Wdet,,2,10,0.0,1.0,1.0,
