cell,rep,method,arm,weight,secs,nfail,nrej,fdp,tpr,tprP,typeI,replica_corr
2001,0,twochannel,A1,none,48.0,0,12,0.16666666666666666,1.0,1.0,0.03333333333333333,
2001,0,twochannel,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,0,twochannel,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,0,wilcoxon,A0,none,0.1,0,9,0.0,0.9,0.9,0.022222222222222223,
2001,0,wilcoxon,A1,none,,0,9,0.0,0.9,0.9,0.022222222222222223,
2001,0,wilcoxon,A2,Wdet,,0,9,0.0,0.9,0.9,,
2001,0,wilcoxon,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,0,linda,A0,none,2.7,0,10,0.0,1.0,1.0,0.0,0.9986224671745949
2001,0,linda,A1,none,,0,10,0.0,1.0,1.0,0.022222222222222223,
2001,0,linda,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,0,linda,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,0,zinq,A0,none,4.3,3,10,0.0,1.0,1.0,0.0,
2001,0,zinq,A2,Wdet,,3,10,0.0,1.0,1.0,,
2001,0,zinq,A2,Winfo,,3,10,0.0,1.0,1.0,,
2001,0,locom,A1n,none,74.2,56,5,0.0,0.5,0.5,0.02857142857142857,
2001,0,locom,A2,Wdet,,56,5,0.0,0.5,0.5,,
2001,0,locom,A2,Winfo,,56,6,0.0,0.6,0.6,,
2001,1,twochannel,A1,none,48.5,0,11,0.09090909090909091,1.0,1.0,0.022222222222222223,
2001,1,twochannel,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,1,twochannel,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,1,wilcoxon,A0,none,0.0,0,10,0.0,1.0,1.0,0.05555555555555555,
2001,1,wilcoxon,A1,none,,0,10,0.0,1.0,1.0,0.044444444444444446,
2001,1,wilcoxon,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,1,wilcoxon,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,1,linda,A0,none,3.7,0,10,0.0,1.0,1.0,0.022222222222222223,0.998997156021191
2001,1,linda,A1,none,,0,10,0.0,1.0,1.0,0.03333333333333333,
2001,1,linda,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,1,linda,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,1,zinq,A0,none,4.5,0,10,0.0,1.0,1.0,0.022222222222222223,
2001,1,zinq,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,1,zinq,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,1,locom,A1n,none,50.8,62,8,0.125,0.7,0.7,0.07142857142857142,
2001,1,locom,A2,Wdet,,62,8,0.125,0.7,0.7,,
2001,1,locom,A2,Winfo,,62,8,0.125,0.7,0.7,,
2001,2,twochannel,A1,none,46.5,0,10,0.0,1.0,1.0,0.06666666666666667,
2001,2,twochannel,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,2,twochannel,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,2,wilcoxon,A0,none,0.0,0,11,0.09090909090909091,1.0,1.0,0.06666666666666667,
2001,2,wilcoxon,A1,none,,0,10,0.0,1.0,1.0,0.08888888888888889,
2001,2,wilcoxon,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,2,wilcoxon,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,2,linda,A0,none,2.2,0,10,0.0,1.0,1.0,0.05555555555555555,0.9993013358627191
2001,2,linda,A1,none,,0,10,0.0,1.0,1.0,0.07777777777777778,
2001,2,linda,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,2,linda,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,2,zinq,A0,none,4.9,1,11,0.09090909090909091,1.0,1.0,0.06741573033707865,
2001,2,zinq,A2,Wdet,,1,10,0.0,1.0,1.0,,
2001,2,zinq,A2,Winfo,,1,11,0.09090909090909091,1.0,1.0,,
2001,2,locom,A1n,none,32.1,59,10,0.0,1.0,1.0,0.06451612903225806,
2001,2,locom,A2,Wdet,,59,10,0.0,1.0,1.0,,
2001,2,locom,A2,Winfo,,59,10,0.0,1.0,1.0,,
2001,3,twochannel,A1,none,55.6,0,11,0.09090909090909091,1.0,1.0,0.03333333333333333,
2001,3,twochannel,A2,Wdet,,0,10,0.0,1.0,1.0,,
