cell,method,arm,weight,fdp,fdp_sem,tpr,tpr_sem,tprP,typeI,nrej,nfail,secs
2001,linda,A0,none,0.0394,0.0132,1.0,0.0,1.0,0.0406,10.45,0.0,3.13
2001,linda,A1,none,0.0979,0.0283,1.0,0.0,1.0,0.0611,11.35,0.0,
2001,linda,A2,Wdet,0.0402,0.0119,1.0,0.0,1.0,,10.45,0.0,
2001,linda,A2,Winfo,0.0265,0.0111,1.0,0.0,1.0,,10.3,0.0,
2001,locom,A1n,none,0.0507,0.0146,0.695,0.0328,0.695,0.0669,7.35,61.2,44.13
2001,locom,A2,Wdet,0.0451,0.0144,0.695,0.0328,0.695,,7.3,61.2,
2001,locom,A2,Winfo,0.0435,0.0139,0.69,0.034,0.69,,7.25,61.2,
2001,twochannel,A1,none,0.053,0.0131,1.0,0.0,1.0,0.05,10.6,0.0,51.965
2001,twochannel,A2,Wdet,0.0356,0.0117,1.0,0.0,1.0,,10.4,0.0,
2001,twochannel,A2,Winfo,0.0356,0.0117,1.0,0.0,1.0,,10.4,0.0,
2001,wilcoxon,A0,none,0.0596,0.0179,0.985,0.0082,0.985,0.0544,10.55,0.0,0.045
2001,wilcoxon,A1,none,0.061,0.0163,0.985,0.0082,0.985,0.0506,10.55,0.0,
2001,wilcoxon,A2,Wdet,0.0273,0.0116,0.985,0.0082,0.985,,10.15,0.0,
2001,wilcoxon,A2,Winfo,0.0501,0.0192,0.99,0.0069,0.99,,10.5,0.0,
2001,zinq,A0,none,0.0703,0.0189,1.0,0.0,1.0,0.0537,10.85,1.55,4.745
2001,zinq,A2,Wdet,0.066,0.0187,1.0,0.0,1.0,,10.8,1.55,
2001,zinq,A2,Winfo,0.1164,0.0265,1.0,0.0,1.0,,11.55,1.55,
2002,linda,A0,none,0.0381,0.0152,0.545,0.0135,1.0,0.0456,5.7,0.0,3.42
2002,linda,A1,none,0.0613,0.0231,0.53,0.0128,0.99,0.065,5.75,0.0,
2002,linda,A2,Wdet,0.0393,0.0157,0.545,0.0135,1.0,,5.7,0.0,
2002,linda,A2,Winfo,0.0467,0.0165,0.55,0.0154,1.0,,5.8,0.0,
2002,locom,A1n,none,0.078,0.0205,0.74,0.0358,0.82,0.0704,8.1,60.45,43.045
2002,locom,A2,Wdet,0.0646,0.0205,0.745,0.038,0.82,,8.05,60.45,
2002,locom,A2,Winfo,0.0735,0.0181,0.725,0.0339,0.81,,7.9,60.45,
2002,twochannel,A1,none,0.0612,0.0186,0.955,0.0135,1.0,0.0533,10.25,0.0,55.955
2002,twochannel,A2,Wdet,0.0371,0.0121,0.96,0.0134,1.0,,10.0,0.0,
2002,twochannel,A2,Winfo,0.0421,0.0123,0.96,0.0134,1.0,,10.05,0.0,
2002,wilcoxon,A0,none,0.04,0.0142,0.66,0.0294,0.99,0.0561,6.9,0.0,0.075
2002,wilcoxon,A1,none,0.05,0.0208,0.645,0.0312,0.99,0.0533,6.85,0.0,
2002,wilcoxon,A2,Wdet,0.0475,0.0199,0.675,0.0307,0.99,,7.15,0.0,
2002,wilcoxon,A2,Winfo,0.0583,0.022,0.665,0.0302,0.99,,7.15,0.0,
2002,zinq,A0,none,0.0466,0.0161,0.855,0.0211,1.0,0.0453,9.0,1.85,5.05
2002,zinq,A2,Wdet,0.0656,0.0201,0.875,0.019,1.0,,9.45,1.85,
2002,zinq,A2,Winfo,0.0797,0.021,0.87,0.0179,1.0,,9.55,1.85,
2003,linda,A0,none,0.0,0.0,0.0,0.0,,0.045,0.0,0.0,2.17
2003,linda,A1,none,0.05,0.05,0.0,0.0,,0.0622,0.2,0.0,
2003,linda,A2,Wdet,0.0,0.0,0.0,0.0,,,0.0,0.0,
2003,linda,A2,Winfo,0.0,0.0,0.0,0.0,,,0.0,0.0,
2003,locom,A1n,none,0.0533,0.0254,0.295,0.042,,0.0517,3.2,60.6,20.505
2003,locom,A2,Wdet,0.0533,0.0254,0.295,0.042,,,3.2,60.6,
2003,locom,A2,Winfo,0.0533,0.0254,0.3,0.0447,,,3.25,60.6,
2003,twochannel,A1,none,0.0516,0.0211,0.51,0.0441,,0.0594,5.45,0.0,43.77
2003,twochannel,A2,Wdet,0.0489,0.023,0.575,0.0486,,,6.15,0.0,
2003,twochannel,A2,Winfo,0.041,0.0204,0.555,0.0484,,,5.85,0.0,
2003,wilcoxon,A0,none,0.02,0.02,0.07,0.0242,,0.0544,0.8,0.0,0.0
2003,wilcoxon,A1,none,0.0167,0.0167,0.06,0.0255,,0.045,0.7,0.0,
2003,wilcoxon,A2,Wdet,0.0167,0.0167,0.075,0.026,,,0.85,0.0,
2003,wilcoxon,A2,Winfo,0.0167,0.0167,0.08,0.0258,,,0.9,0.0,
2003,zinq,A0,none,0.0167,0.0115,0.27,0.043,,0.0321,2.8,8.05,4.035
2003,zinq,A2,Wdet,0.0226,0.0162,0.31,0.0441,,,3.25,8.05,
2003,zinq,A2,Winfo,0.0226,0.0162,0.315,0.0443,,,3.3,8.05,
