cell,rep,mode,arm,secs,nfail,nrej,fdp,tpr,tprP,tprA,typeI,det_share
2001,0,complete_wilcoxon,after,27.8,0,10,0.0,1.0,1.0,,0.03333333333333333,0.9
2001,0,complete_linda,after,1.6,0,10,0.0,1.0,1.0,,0.022222222222222223,0.6
2001,0,zinq_adj,logN,2.4,3,10,0.0,1.0,1.0,,0.0,
2001,0,zinq_adj,zola,2.5,3,10,0.0,1.0,1.0,,0.0,
2001,0,locom_filter,zola_k44,45.8,56,5,0.0,0.5,0.5,,0.029411764705882353,
2001,1,complete_wilcoxon,after,31.2,0,10,0.0,1.0,1.0,,0.044444444444444446,1.0
2001,1,complete_linda,after,1.7,0,10,0.0,1.0,1.0,,0.011111111111111112,0.7
2001,1,zinq_adj,logN,2.4,0,10,0.0,1.0,1.0,,0.022222222222222223,
2001,1,zinq_adj,zola,2.7,0,10,0.0,1.0,1.0,,0.022222222222222223,
2001,1,locom_filter,zola_k38,20.7,62,8,0.125,0.7,0.7,,0.07142857142857142,
2001,2,complete_wilcoxon,after,32.4,0,12,0.16666666666666666,1.0,1.0,,0.08888888888888889,0.75
2001,2,complete_linda,after,1.6,0,11,0.09090909090909091,1.0,1.0,,0.07777777777777778,0.5454545454545454
2001,2,zinq_adj,logN,2.5,1,11,0.09090909090909091,1.0,1.0,,0.06741573033707865,
2001,2,zinq_adj,zola,2.5,1,11,0.09090909090909091,1.0,1.0,,0.06741573033707865,
2001,2,locom_filter,zola_k41,32.3,59,7,0.0,0.7,0.7,,0.03225806451612903,
2001,3,complete_wilcoxon,after,38.0,0,12,0.16666666666666666,1.0,1.0,,0.08888888888888889,0.8333333333333334
2001,3,complete_linda,after,1.6,0,11,0.09090909090909091,1.0,1.0,,0.07777777777777778,0.8181818181818182
2001,3,zinq_adj,logN,2.4,3,14,0.2857142857142857,1.0,1.0,,0.12643678160919541,
2001,3,zinq_adj,zola,2.5,3,14,0.2857142857142857,1.0,1.0,,0.11494252873563218,
2001,3,locom_filter,zola_k41,26.9,59,6,0.0,0.6,0.6,,0.0967741935483871,
2001,4,complete_wilcoxon,after,32.0,0,15,0.3333333333333333,1.0,1.0,,0.1111111111111111,0.6666666666666666
