cell,mode,arm,fdp,fdp_sem,tpr,tpr_sem,tprA,tprP,typeI,nrej,nfail,secs
2001,complete_linda,after,0.0808,0.0268,1.0,0.0,,1.0,0.0578,11.1,0.0,1.895
2001,complete_wilcoxon,after,0.1003,0.0216,1.0,0.0,,1.0,0.0561,11.25,0.0,33.115
2001,locom_filter,zola_k33,0.0,,0.8,,,0.8,0.0,8.0,67.0,28.7
2001,locom_filter,zola_k34,0.0,,0.8,,,0.8,0.0417,8.0,66.0,15.7
2001,locom_filter,zola_k36,0.0,0.0,0.7333,0.0667,,0.7333,0.0641,7.3333,64.0,21.7667
2001,locom_filter,zola_k37,0.0714,0.0714,0.55,0.05,,0.55,0.1111,6.0,63.0,36.25
2001,locom_filter,zola_k38,0.0729,0.0429,0.675,0.0629,,0.675,0.0622,7.25,62.0,20.6
2001,locom_filter,zola_k40,0.1,,0.9,,,0.9,0.0333,10.0,60.0,30.3
2001,locom_filter,zola_k41,0.0357,0.0357,0.675,0.0479,,0.675,0.0565,7.0,59.0,38.025
2001,locom_filter,zola_k42,0.15,0.15,0.6,0.1,,0.6,0.0781,7.5,58.0,29.15
2001,locom_filter,zola_k43,0.0,,0.9,,,0.9,0.0606,9.0,57.0,23.2
2001,locom_filter,zola_k44,0.0,,0.5,,,0.5,0.0294,5.0,56.0,45.8
2001,zinq_adj,logN,0.0703,0.0189,1.0,0.0,,1.0,0.0548,10.85,1.55,2.86
2001,zinq_adj,zola,0.0703,0.0189,1.0,0.0,,1.0,0.0543,10.85,1.55,3.06
2002,complete_linda,after,0.0381,0.0184,0.51,0.0069,0.02,1.0,0.0583,5.35,0.0,1.72
2002,complete_wilcoxon,after,0.0895,0.0197,0.625,0.0289,0.26,0.99,0.0578,6.95,0.0,31.52
2002,locom_filter,zola_k29,0.1111,,0.8,,0.8,0.8,0.0526,9.0,71.0,8.5
2002,locom_filter,zola_k35,0.0,,0.7,,0.6,0.8,0.0385,7.0,65.0,31.8
2002,locom_filter,zola_k36,0.0,,0.7,,0.4,1.0,0.0,7.0,64.0,13.2
2002,locom_filter,zola_k37,0.0,,0.8,,0.8,0.8,0.0741,8.0,63.0,20.2
2002,locom_filter,zola_k38,0.0,0.0,0.7333,0.1202,0.5333,0.9333,0.0813,7.3333,62.0,27.4
2002,locom_filter,zola_k39,0.0455,0.0455,0.9,0.1,0.9,0.9,0.0172,9.5,61.0,11.45
2002,locom_filter,zola_k40,0.1833,0.0167,0.65,0.15,0.7,0.6,0.0828,8.0,60.0,34.6
2002,locom_filter,zola_k41,0.1028,0.0708,0.775,0.0854,0.7,0.85,0.0794,8.75,59.0,26.075
2002,locom_filter,zola_k42,0.0455,0.0455,0.95,0.05,1.0,0.9,0.0781,10.0,58.0,38.2
2002,locom_filter,zola_k43,0.2222,,0.7,,0.6,0.8,0.1212,9.0,57.0,20.5
2002,locom_filter,zola_k45,0.0,,0.7,,0.6,0.8,0.0278,7.0,55.0,23.6
2002,locom_filter,zola_k46,0.0,,0.5,,0.6,0.4,0.0833,5.0,54.0,81.6
2002,zinq_adj,logN,0.0449,0.0154,0.875,0.0204,0.75,1.0,0.0459,9.2,1.85,2.665
2002,zinq_adj,zola,0.049,0.0167,0.875,0.0204,0.75,1.0,0.0464,9.25,1.85,2.885
2003,complete_linda,after,0.05,0.05,0.0,0.0,0.0,,0.0617,0.25,0.0,1.42
2003,complete_wilcoxon,after,0.5469,0.0984,0.06,0.0234,0.06,,0.0772,3.05,0.0,24.725
2003,locom_filter,zola_k33,0.0,,0.1,,0.1,,0.0435,1.0,67.0,6.3
2003,locom_filter,zola_k37,0.0,0.0,0.35,0.05,0.35,,0.0358,3.5,63.0,9.25
2003,locom_filter,zola_k38,0.0,0.0,0.18,0.0735,0.18,,0.035,1.8,62.0,13.12
2003,locom_filter,zola_k39,0.0,0.0,0.2,0.1,0.2,,0.0323,2.0,61.0,14.0
2003,locom_filter,zola_k40,0.0,0.0,0.2667,0.0333,0.2667,,0.0437,2.6667,60.0,18.0
2003,locom_filter,zola_k41,0.1778,0.0969,0.3333,0.0667,0.3333,,0.0323,4.0,59.0,16.8667
2003,locom_filter,zola_k42,0.125,0.125,0.25,0.05,0.25,,0.0611,3.0,58.0,14.4
2003,locom_filter,zola_k43,0.0,0.0,0.25,0.25,0.25,,0.0455,2.5,57.0,20.5
2003,zinq_adj,logN,0.0155,0.0107,0.3,0.047,0.3,,0.0327,3.1,8.05,2.54
2003,zinq_adj,zola,0.0155,0.0107,0.3,0.047,0.3,,0.0333,3.1,8.05,2.515
