cell,rep,mode,arm,secs,nfail,nrej,fdp,tpr,tprP,tprA,typeI,det_share
2001,0,poswilcoxon,before,0.1,0,0,0.0,0.0,0.0,,0.044444444444444446,
2001,0,poswilcoxon,after,,0,11,0.09090909090909091,1.0,1.0,,0.03333333333333333,0.9090909090909091
2001,0,poswilcoxon,before_anch,0.1,0,2,1.0,0.0,0.0,,0.03333333333333333,
2001,0,poswilcoxon,after_anch,,0,12,0.16666666666666666,1.0,1.0,,0.03333333333333333,0.8333333333333334
2001,1,poswilcoxon,before,0.1,0,0,0.0,0.0,0.0,,0.044444444444444446,
2001,1,poswilcoxon,after,,0,10,0.0,1.0,1.0,,0.03333333333333333,1.0
2001,1,poswilcoxon,before_anch,0.1,0,0,0.0,0.0,0.0,,0.044444444444444446,
2001,1,poswilcoxon,after_anch,,0,11,0.09090909090909091,1.0,1.0,,0.03333333333333333,0.9090909090909091
2001,2,poswilcoxon,before,0.1,0,0,0.0,0.0,0.0,,0.03333333333333333,
2001,2,poswilcoxon,after,,0,11,0.09090909090909091,1.0,1.0,,0.05555555555555555,1.0
2001,2,poswilcoxon,before_anch,0.1,0,0,0.0,0.0,0.0,,0.0,
2001,2,poswilcoxon,after_anch,,0,11,0.09090909090909091,1.0,1.0,,0.03333333333333333,1.0
2001,3,poswilcoxon,before,0.1,0,2,1.0,0.0,0.0,,0.14444444444444443,
2001,3,poswilcoxon,after,,0,14,0.2857142857142857,1.0,1.0,,0.12222222222222222,0.7142857142857143
2001,3,poswilcoxon,before_anch,0.1,0,0,0.0,0.0,0.0,,0.03333333333333333,
2001,3,poswilcoxon,after_anch,,0,10,0.1,0.9,0.9,,0.05555555555555555,0.9
2001,4,poswilcoxon,before,0.1,0,0,0.0,0.0,0.0,,0.1111111111111111,
2001,4,poswilcoxon,after,,0,13,0.23076923076923078,1.0,1.0,,0.12222222222222222,0.9230769230769231
2001,4,poswilcoxon,before_anch,0.1,0,0,0.0,0.0,0.0,,0.011111111111111112,
2001,4,poswilcoxon,after_anch,,0,12,0.16666666666666666,1.0,1.0,,0.044444444444444446,1.0
2001,5,poswilcoxon,before,0.1,0,0,0.0,0.0,0.0,,0.03333333333333333,
2001,5,poswilcoxon,after,,0,10,0.0,1.0,1.0,,0.05555555555555555,1.0
2001,5,poswilcoxon,before_anch,0.1,0,0,0.0,0.0,0.0,,0.07777777777777778,
2001,5,poswilcoxon,after_anch,,0,12,0.16666666666666666,1.0,1.0,,0.06666666666666667,0.8333333333333334
2001,6,poswilcoxon,before,0.1,0,0,0.0,0.0,0.0,,0.05555555555555555,
2001,6,poswilcoxon,after,,0,10,0.0,1.0,1.0,,0.044444444444444446,1.0
2001,6,poswilcoxon,before_anch,0.1,0,0,0.0,0.0,0.0,,0.05555555555555555,
2001,6,poswilcoxon,after_anch,,0,10,0.0,1.0,1.0,,0.06666666666666667,1.0
2001,7,poswilcoxon,before,0.1,0,0,0.0,0.0,0.0,,0.044444444444444446,
2001,7,poswilcoxon,after,,0,11,0.09090909090909091,1.0,1.0,,0.022222222222222223,0.9090909090909091
2001,7,poswilcoxon,before_anch,0.1,0,0,0.0,0.0,0.0,,0.03333333333333333,
2001,7,poswilcoxon,after_anch,,0,10,0.0,1.0,1.0,,0.044444444444444446,1.0
2001,8,poswilcoxon,before,0.1,0,0,0.0,0.0,0.0,,0.044444444444444446,
2001,8,poswilcoxon,after,,0,11,0.09090909090909091,1.0,1.0,,0.05555555555555555,1.0
2001,8,poswilcoxon,before_anch,0.1,0,0,0.0,0.0,0.0,,0.044444444444444446,
2001,8,poswilcoxon,after_anch,,0,12,0.16666666666666666,1.0,1.0,,0.07777777777777778,0.9166666666666666
2001,9,poswilcoxon,before,0.1,0,0,0.0,0.0,0.0,,0.011111111111111112,
2001,9,poswilcoxon,after,,0,10,0.0,1.0,1.0,,0.022222222222222223,1.0
2001,9,poswilcoxon,before_anch,0.1,0,0,0.0,0.0,0.0,,0.011111111111111112,
2001,9,poswilcoxon,after_anch,,0,10,0.0,1.0,1.0,,0.022222222222222223,1.0
2001,10,poswilcoxon,before,0.1,0,0,0.0,0.0,0.0,,0.1111111111111111,
2001,10,poswilcoxon,after,,0,12,0.16666666666666666,1.0,1.0,,0.1,0.8333333333333334
2001,10,poswilcoxon,before_anch,0.1,0,0,0.0,0.0,0.0,,0.06666666666666667,
2001,10,poswilcoxon,after_anch,,0,10,0.0,1.0,1.0,,0.07777777777777778,1.0
2001,11,poswilcoxon,before,0.1,0,0,0.0,0.0,0.0,,0.011111111111111112,
2001,11,poswilcoxon,after,,0,12,0.16666666666666666,1.0,1.0,,0.044444444444444446,1.0
2001,11,poswilcoxon,before_anch,0.1,0,0,0.0,0.0,0.0,,0.011111111111111112,
2001,11,poswilcoxon,after_anch,,0,12,0.16666666666666666,1.0,1.0,,0.044444444444444446,1.0
2001,12,poswilcoxon,before,0.1,0,0,0.0,0.0,0.0,,0.07777777777777778,
2001,12,poswilcoxon,after,,0,13,0.23076923076923078,1.0,1.0,,0.13333333333333333,0.8461538461538461
2001,12,poswilcoxon,before_anch,0.1,0,0,0.0,0.0,0.0,,0.05555555555555555,
2001,12,poswilcoxon,after_anch,,0,12,0.16666666666666666,1.0,1.0,,0.1,0.9166666666666666
2001,13,poswilcoxon,before,0.1,0,0,0.0,0.0,0.0,,0.08888888888888889,
2001,13,poswilcoxon,after,,0,12,0.16666666666666666,1.0,1.0,,0.07777777777777778,0.9166666666666666
2001,13,poswilcoxon,before_anch,0.1,0,0,0.0,0.0,0.0,,0.05555555555555555,
2001,13,poswilcoxon,after_anch,,0,11,0.09090909090909091,1.0,1.0,,0.044444444444444446,1.0
2001,14,poswilcoxon,before,0.1,0,0,0.0,0.0,0.0,,0.1,
2001,14,poswilcoxon,after,,0,12,0.16666666666666666,1.0,1.0,,0.06666666666666667,0.9166666666666666
2001,14,poswilcoxon,before_anch,0.1,0,0,0.0,0.0,0.0,,0.03333333333333333,
