cell,mode,arm,fdp,fdp_sem,tpr,tpr_sem,tprA,tprP,typeI,nrej,nfail,secs
2001,poswilcoxon,after,0.1116,0.0181,1.0,0.0,,1.0,0.0711,11.35,0.0,
2001,poswilcoxon,after_anch,0.0865,0.016,0.99,0.0069,,0.99,0.0517,10.9,0.0,
2001,poswilcoxon,before,0.05,0.05,0.0,0.0,,0.0,0.0761,0.1,0.0,0.1
2001,poswilcoxon,before_anch,0.05,0.05,0.0,0.0,,0.0,0.0439,0.1,0.0,0.1
2002,poswilcoxon,after,0.0535,0.0187,0.915,0.0182,0.83,1.0,0.0561,9.75,0.0,
2002,poswilcoxon,after_anch,0.0371,0.0166,0.92,0.0172,0.84,1.0,0.0517,9.6,0.0,
2002,poswilcoxon,before,0.0558,0.0233,0.415,0.0182,0.83,0.0,0.0511,4.45,0.0,0.1
2002,poswilcoxon,before_anch,0.0333,0.0185,0.42,0.0172,0.84,0.0,0.0389,4.35,0.0,0.1
2003,poswilcoxon,after,0.0371,0.0177,0.325,0.0571,0.325,,0.0556,3.5,0.0,
2003,poswilcoxon,after_anch,0.0271,0.0126,0.44,0.0582,0.44,,0.0567,4.6,0.0,
2003,poswilcoxon,before,0.0381,0.0184,0.43,0.0454,0.43,,0.0406,4.55,0.0,0.04
2003,poswilcoxon,before_anch,0.0368,0.018,0.525,0.0491,0.525,,0.0478,5.55,0.0,0.05
